622 Alternative Middle/High School (North Saint Paul, MN)
A & M Cons H S (College Station, TX)
A A Kingston Middle School (Potsdam, NY)
A B Chandler Elementary School (Corydon, KY)
A B Shepard High Sch (Campus) (Palos Heights, IL)
A Bridge Of Hope Academy (Tampa, FL)
A C Blunt Middle (Aransas Pass, TX)
A C Houghton Elementary School (Irrigon, OR)
A C Jones H S (Beeville, TX)
A C Jones Health Professions Magnet Academy (Beeville, TX)
A Drewicz Elementary (Lynn, MA)
A E F High School (Davie, FL)
A E R O Educational Center (Burbank, IL)
A G Elder El (Joshua, TX)
A G Richardson Elem (Culpeper, VA)
A G West Black Hills High School (Tumwater, WA)
A J Jordak Elementary School (Middlefield, OH)
A J Mitchell Elementary School (Nogales, AZ)
A J Winters Elementary School (Montpelier, ID)
A K Smith Area Career Center (Michigan City, IN)
A L Brown High (Kannapolis, NC)
A L Stanback Middle (Hillsborough, NC)
A M Ochoa El (Donna, TX)
A M Pate El (Fort Worth, TX)
A M Windham Elementary School (Daleville, AL)
A Neil Deatley Career Technical Education Center (Lewiston, ID)
A Philip Randolph Campus High School (New York, NY)
A W Beattie Career Center (Allison Park, PA)
A-3 Multiagency Adolescent Prog (Spokane, WA)
A-C Central High School (Ashland, IL)
A-C Central Middle School (Ashland, IL)
A-Tech High School (Brooklyn, NY)
A. A. Nelson Elementary School (Lake Charles, LA)
A. C. E. (Marana, AZ)
A. C. Flora High (Columbia, SC)
A. Crawford Mosley High School (Lynn Haven, FL)
A. E. Phillips Laboratory School (Ruston, LA)
A. G. A. P. E. Teen Parent (Saint Paul, MN)
A. I. Prince Technical High School (Hartford, CT)
A. J. Martin Elem. (East Prairie, MO)
A. L. Mebane Middle School (Alachua, FL)
A. Linwood Holton Gov. Sch. (Abingdon, VA)
A. M. Winn Waldorf-Inspired (Sacramento, CA)
A. Maceo Walker Middle (Memphis, TN)
A. Mario Loiederman Middle (Silver Spring, MD)
A. Montoya Elementary (Tijeras, NM)
A. Philip Randolph Academies (Jacksonville, FL)
A.C. Alexander Elementary School (Kenner, LA)
A.C.G.C. Secondary (Grove City, MN)
A.D. Henderson University School & Fau High School (Boca Raton, FL)
A.E. Burling High School (Pennsauken, NJ)
A.P Lutali (Pago Pago, AS)
A.P. Morris Early Childhood Center (Hillside, NJ)
A.Quinn Jones Center (Gainesville, FL)
A.S.B. Educational Institute (Whitsville, TN)
A+ Charter Schools (Maricopa, AZ)
A+ Children'S Academy (Columbus, OH)
A+ Secondary School (Dallas, TX)
A+ Unlimited Potential - Museum District (Houston, TX)
Aaec - Paradise Valley (Phoenix, AZ)
Aaec - Smcc Campus (Phoenix, AZ)
Aaron School K - 12 (New York, NY)
Aba Haines City Inc (Haines City, FL)
Abbeville Christian Academy (Abbeville, AL)
Abbeville County Career Center (Abbeville, SC)
Abbeville High (Abbeville, SC)
Abbeville High School (Abbeville, AL)
Abbeville High School (Abbeville, LA)
Abbot Elementary (Westford, MA)
Abbotsford Christian Academy (Abbotsford, WI)
Abbotsford Middle/Senior High (Abbotsford, WI)
Abbott House High School - 07 (Mitchell, SD)
Abbott School (Abbott, TX)
Abby Kelley Foster Charter Public School (Worcester, MA)
Abc Secondary (Alternative) (Cerritos, CA)
Abe Diploma Program (Apple Valley, MN)
Abe Hubert Elementary School (Garden City, KS)
Abelardo Martinez Otero (Arecibo, PR)
Abels Academy (Clermont, FL)
Aberdeen Catholic Schools (Aberdeen, SD)
Aberdeen Christian School, Inc (Aberdeen, SD)
Aberdeen High (Aberdeen, MD)
Aberdeen High School (Aberdeen, ID)
Aberdeen High School (Aberdeen, MS)
Aberdeen Middle (Aberdeen, MD)
Abernathy Daep (Plainview, TX)
Abernathy H S (Abernathy, TX)
Abi Christian Academy (Saint Paul, MN)
Abilene Baptist Academy (Abilene, KS)
Abilene Christian Schools (Abilene, TX)
Abilene H S (Abilene, TX)
Abilene High School (Abilene, KS)
Abilene Middle School (Abilene, KS)
Abilities First (Poughkeepsie, NY)
Abingdon Elem (Abingdon, VA)
Abingdon High (Abingdon, VA)
Abingdon-Avon High Sch (Abingdon, IL)
Abington Avenue School (Newark, NJ)
Abington Friends School (Jenkintown, PA)
Abington Heights HS (Clarks Summit, PA)
Abington High (Abington, MA)
Abington Shs (Abington, PA)
Abiquiu Elementary (Espanola, NM)
Abita Springs Elementary School (Abita Springs, LA)
Able Academics (Cocoa, FL)
Able Academics-Children'S Center (Titusville, FL)
Able Christian School (Mcdonough, GA)
Abm Ministries-Lighthouse Christian Academy (Piedmont, MO)
Abq Charter Academy (Albuquerque, NM)
Abq School Of Excellence (Albuquerque, NM)
Abq Sign Language Academy (Albuquerque, NM)
Abraham Clark High School (Roselle, NJ)
Abraham Joshua Heschel School (New York, NY)
