B Beck Education Center (Redford, MI)
B C Campus School (Chestnut Hill, MA)
B C Ed Tech Center (Chocowinity, NC)
B F Terry H S (Rosenberg, TX)
B H Macon El (Dallas, TX)
B L Garza Middle (Edinburg, TX)
B M C Durfee High (Fall River, MA)
B M Williams Primary (Chesapeake, VA)
B W Robinson School (Rolla, MO)
B W Sheperd School (Kansas City, MO)
B. Bernice Young Elementary School (Burlington, NJ)
B. R. Foreign Language Acad. Immersion Magnet (Baton Rouge, LA)
B. Roberto Cruz Leadership Academy (San Jose, CA)
B. T. Washington High (Memphis, TN)
B.E.S.T Academy (Atlanta, GA)
B.E.S.T. Academy (Walenford, CT)
B.F. Butler Middle School (Lowell, MA)
Babb Middle School (Forest Park, GA)
Babbitt Elementary (Babbitt, MN)
Babler Lodge (Chesterfield, MO)
Baboquivari High School (Topawa, AZ)
Babylon Junior-Senior High School (Babylon, NY)
Babylon Memorial Grade School (Babylon, NY)
Baccalaureate School For Global Education (Long Island City, NY)
Back Bay High (Costa Mesa, CA)
Back Creek Elem (Roanoke, VA)
Back Creek Valley Elementary School (Hedgesville, WV)
Back Of The Yards Ib HS (Chicago, IL)
Bacon Academy (Colchester, CT)
Bacon County High School (Alma, GA)
Bacon County Middle School (Alma, GA)
Bacon County Primary School (Alma, GA)
Bacon Elementary School (Jesup, GA)
Baconton Community Charter School (Baconton, GA)
Bacot Academy (Panama City, FL)
Bad Axe High School (Bad Axe, MI)
Baden High (Continuation) (South San Francisco, CA)
Bader Hillel High School (Glendale, WI)
Badger Elementary School (Kinsman, OH)
Badger High (Lake Geneva, WI)
Badger High School (Kinsman, OH)
Badger Rock Middle (Madison, WI)
Badger Secondary (Badger, MN)
Badger State Baptist School (Oak Creek, WI)
Badin Elementary (Badin, NC)
Bagdad El (Leander, TX)
Bagdad Middle / Senior High School (Bagdad, AZ)
Bagley Alp (Bagley, MN)
Bagley Secondary (Bagley, MN)
Bailey Elementary (Bailey, NC)
Bailey J H (Arlington, TX)
Bailey Middle (Austin, TX)
