C A Farley (Hudson, MA)
C C Wells Elem (Chester, VA)
C C Winn H S (Eagle Pass, TX)
C E Ellison H S (Killeen, TX)
C E Jordan High (Durham, NC)
C E King H S (Houston, TX)
C E Rose Elementary School (Tucson, AZ)
C E Walters School (Yaphank, NY)
C F Holliday Elementary School (Dayton, OH)
C Henry Bloom Elem School (Rockford, IL)
C I T Y Program (Gadsden, AL)
C J Hooker Middle School (Goshen, NY)
C Joyner Greene Education Center (Jamestown, NC)
C L Jones Middle School (Minden, NE)
C L Smith Elementary (San Luis Obispo, CA)
C M Russell High School (Great Falls, MT)
C O Bastian High School (Caliente, NV)
C O Harrison Elementary School (Cincinnati, OH)
C O R E (Georgetown, TX)
C P Carmichael Alternative School (Monroeville, AL)
C R Anderson Middle Schl (Helena, MT)
C Stainke El (Donna, TX)
C W Cline El (Friendswood, TX)
C Y Junior Middle School (Casper, WY)
C-Bar-V Ranch (Wilson, WY)
C. A. Johnson High (Columbia, SC)
C. E. Murray High (Greeleyville, SC)
C. Elizabeth Rieg Regional Center (Mitchellville, MD)
C. G. Bethel High School (North Miami Beach, FL)
C. K. Mcclatchy High (Sacramento, CA)
C. Milton Wright High (Bel Air, MD)
C. P. Smith School (Burlington, VT)
C. Roy Carmichael Elementary (Portola, CA)
C. T. English Middle (Los Gatos, CA)
C.A. Sinclair Elem (Manassas, VA)
C.B. Partee Elementary School (Brinkley, AR)
C.D. Hylton High (Woodbridge, VA)
C.E. Byrd High School (Shreveport, LA)
C.E. Jacobson Elementary (Rush City, MN)
C.F. Pope Elementary (Burgaw, NC)
C.F. Rowley Alternative School (Chalmette, LA)
C.O.M.P.A.S.S. (Elk River, MN)
C.W. Harris Es (Washington, DC)
C3 Concord Christian School (Concord, NC)
C4l Academy (Irvine, CA)
Ca Advancing Pathways For Students In Los Angeles Co (Bellflower, CA)
Ca Frost Environmental Science Academy Middle High School (Grand Rapids, MI)
Caaep Extended Day Program (Cloquet, MN)
Cabarrus Charter Academy (Concord, NC)
Cabarrus Co Opportunity School (Concord, NC)
Cabazon Elementary (Cabazon, CA)
Cabe Middle School (Gurdon, AR)
Cabell Alternative School (Huntington, WV)
Cabell County Career Technology Center (Huntington, WV)
Cabell Midland High School (Ona, WV)
Cable El (San Antonio, TX)
Cabool High (Cabool, MO)
