3d Academy (Donna, TX)
917 Dash (Rosemount, MN)
D A E P (Conroe, TX)
D A Hulcy Steam Middle (Dallas, TX)
D C Everest High (Weston, WI)
D C Everest Idea School (Weston, WI)
D H Conley High (Greenville, NC)
D Russel Lee Career-Technology Center (Hamilton, OH)
D T Cox Elementary School (Pontotoc, MS)
D. R. Hill Middle (Lyman, SC)
D. W. Babcock Elementary (Sacramento, CA)
D. W. Daniel High (Central, SC)
D.C. Reeves Elementary School (Ponchatoula, LA)
D'Arbonne Woods Charter School (Farmerville, LA)
D'Evelyn Junior/Senior High School (Denver, CO)
D'Hanis School (D'Hanis, TX)
Da Vinci Charter Academy (Davis, CA)
Da Vinci Communications (El Segundo, CA)
Da Vinci Connect (Hawthorne, CA)
Da Vinci Design (Hawthorne, CA)
Da Vinci Institute 612 (Jackson, MI)
Da Vinci Institute K5 (Jackson, MI)
Da Vinci Rise High (El Segundo, CA)
Da Vinci Science (El Segundo, CA)
Da'Ok Academy (Saipan, MP)
Daarul Uloom Islamic School (Peoria, IL)
Dac (Dodge County Achievement Center) (Eastman, GA)
Dacula High School (Dacula, GA)
Dade Christian School (Hialeah, FL)
Dade County High School (Trenton, GA)
Dade Middle School (Trenton, GA)
Dade Prep Academy Inc. (Miami, FL)
Dadeville High School (Dadeville, AL)
Dadeville Sr. High (Dadeville, MO)
Daep (Abilene, TX)
Daep (Eagle Pass, TX)
Daep (Progreso, TX)
Daggett El (Fort Worth, TX)
Dahlonegah Public School (Stilwell, OK)
Dailard Elementary (San Diego, CA)
Dailey Elementary School (Mount Morris, MI)
Dailey Middle (Austin, TX)
Daily (Allan F.) High (Continuation) (Glendale, CA)
Daingerfield H S (Daingerfield, TX)
Daisy Elementary (Soddy Daisy, TN)
Dakota Adventist Academy (Bismarck, ND)
Dakota Christian School (Corsica, SD)
Dakota City Elementary School (Dakota City, NE)
Dakota County Area Learning School (Farmington, MN)
Dakota High School (Macomb, MI)
Dakota Hills Middle (Eagan, MN)
Dakota Jr Sr High School (Dakota, IL)
Dakota Memorial School (Minot, ND)
Dakota Prairie Area Learning Center (Farmington, MN)
Dakota Prairie High School (Petersburg, ND)
Dakota Reach - 06 (Plankinton, SD)
Dakota Ridge School (Apple Valley, MN)
Dakota Ridge Senior High School (Littleton, CO)
Dakota Valley Elementary - 02 (North Sioux City, SD)
Dakota Valley High School - 01 (North Sioux City, SD)
Dale Cassens Education Complex (Fort Pierce, FL)
Dale City Elem (Woodbridge, VA)
Dale County High School (Midland City, AL)
Dale HS (Dale, OK)
Dale M Thompson/Trails West S (Kansas City, MO)
Daleville High School (Daleville, AL)
Daleville Jr-Sr High School (Daleville, IN)
Dalhart H S (Dalhart, TX)
Dalhart Int (Dalhart, TX)
Dallas Academy (Dallas, TX)
Dallas Center Christian School (Dallas Center, IA)
Dallas Center-Grimes High School (Grimes, IA)
Dallas Christian Academy (Dallas, TX)
Dallas County Career Technical Center (Selma, AL)
Dallas County High School (Plantersville, AL)
Dallas County Jjaep (Dallas, TX)
Dallas County Jjaep Desoto Campus (Dallas, TX)
Dallas County Technical Center (Louisburg, MO)
Dallas Elementary School (Dallas, GA)
Dallas High School (Dallas, OR)
Dallas Lutheran School (Dallas, TX)
Dallas Park El (Fort Worth, TX)
Dallas Shs (Dallas, PA)
Dallastown Area Shs (Dallastown, PA)
Dalton High School (Dalton, GA)
Dalton High School (Dalton, OH)
Dalton Mcmichael High (Mayodan, NC)
Dalton Middle School (Dalton, GA)
Dalton School (New York, NY)
Dalton-Nunda Intermediate School (Nunda, NY)
Dalton-Nunda Secondary School (Nunda, NY)
Daly School (Hamilton, MT)
Damar Charter Academy (Indianapolis, IN)
Damascus Christian School (Damascus, OR)
Damascus Elementary (Damascus, MD)
Damascus High (Damascus, MD)
Damien High School (La Verne, CA)
Damien Memorial School (Honolulu, HI)
Damonte Ranch High School (Reno, NV)
Dan Chadwick Campus (Longview, TX)
Dan Hinton Accommodation School (Pima, AZ)
Dan Jacobs (Woodland, CA)
Dan M. Issacs Avalon High (Wilmington, CA)
Dan Mini Elementary (Vallejo, CA)
Dan River High (Ringgold, VA)
Dan W. Peterson (American Fork, UT)
Dana El Ctr (Forty Fort, PA)
Dana Elementary (Hendersonville, NC)
Dana Hall School (Wellesley, MA)
Dana Hills High (Dana Point, CA)
Dana L Lyon Middle School (Bath, NY)
Danbury El (Danbury, TX)
Danbury H S (Danbury, TX)
Danbury High School (Danbury, CT)
Danbury High School (Lakeside Marblehead, OH)
Danbury Middle (Danbury, TX)
Danbury Special Education (Claremont, CA)
Dandridge Elementary (Dandridge, TN)
Dane Barse Elementary School (Vineland, NJ)
Danese Christian School (Danese, WV)
Dania Elementary School (Dania Beach, FL)
Daniel Axford Elementary School (Oxford, MI)
Daniel B Brunton (Springfield, MA)
Daniel Boone Area HS (Birdsboro, PA)
Daniel Boone Area Primary Ctr (Birdsboro, PA)
Daniel Boone Elem. (Wentzville, MO)
Daniel Boone Elementary School (Richmond, KY)
Daniel Boone High School (Gray, TN)
Daniel Burnham Elem School (Cicero, IL)
Daniel C Oakes High School--Castle Rock (Castle Rock, CO)
Daniel F. Ryan Elementary School No. 19 (Passaic, NJ)
Daniel Feeney Preschool Center (Walpole, MA)
Daniel Hand High School (Madison, CT)
Daniel J. Bakie School (Kingston, NH)
Daniel K Inouye Elementary School (Wahiawa, HI)
Daniel Morgan Technology Center (Spartanburg, SC)
Daniel Pearl Journalism & Communications Magnet (Lake Balboa, CA)
Daniel Pratt Elementary School (Prattville, AL)
Daniel Serrano Rivera (Villalba, PR)
Daniel Webster (Marshfield, MA)
Daniel Webster Elementary School (New Rochelle, NY)
Daniel Webster HS (Tulsa, OK)
Daniel Webster Middle (Los Angeles, CA)
Daniell Middle School (Marietta, GA)
Daniels Christian Schools (Columbia, SC)
Daniels Farm School (Trumbull, CT)
Daniels Run Elem (Fairfax, VA)
Danish El (Houston, TX)
Danny J. Bakewell Sr. Primary Center (Los Angeles, CA)
Dansville High School (Dansville, MI)
Dansville High School (Dansville, NY)
Danvers High (Danvers, MA)
Danville Area Shs (Danville, PA)
Danville Christian Academy (Danville, KY)
Danville Community High School (Danville, IN)
Danville Ctr Adolescent Female (Danville, PA)
Danville High School (Danville, AL)
Danville High School (Danville, AR)
Danville High School (Danville, IL)
Danville High School (Danville, KY)
Danville High School (Danville, OH)
Danville Junior-Senior High School (Danville, IA)
Danville Middle School (Danville, AR)
Danville School (Danville, VT)
Danvilleneel Elementary School (Danville, AL)
Danz Elementary (Green Bay, WI)
Daphne East Elementary School (Daphne, AL)
Daphne High School (Daphne, AL)
Daphne Middle School (Daphne, AL)
Dar-Un-Noor Atlanta Science Academy (Atlanta, GA)
Darby 7-8 (Darby, MT)
Darby High School (Darby, MT)
Darcey School (Cheshire, CT)
Darchai Menachem Inc (Brooklyn, NY)
Darchei Torah (Far Rockaway, NY)
Dardanelle High School (Dardanelle, AR)
Dare Learning Academy (Manteo, NC)
Daretown School (Elmer, NJ)
Darien High School (Darien, CT)
Dario Cassina High (Sonora, CA)
Darlington County Institute Of Technology (Darlington, SC)
Darlington High (Darlington, SC)
Darlington High (Darlington, WI)
Darlington School (Rome, GA)
Darnell Cookman Middle/High School (Jacksonville, FL)
Darnell School For Educational & Behavioral Servic (Hudson, MA)
Darrell Lynn Hines Academy (Milwaukee, WI)
Darrington Elementary School (Darrington, WA)
Darrington High School (Darrington, WA)
Darrouzett Schools (Darrouzett, TX)
Darrow School (New Lebanon, NY)
Dartmoor School (Issaquah, WA)
Dartmoor School (Seattle, WA)
Dartmouth El (Richardson, TX)
Dartmouth Elementary School (Aurora, CO)
Dartmouth High (Dartmouth, MA)
Dartmouth Middle (Hemet, CA)
Darul Arqam School (South River, NJ)
Darul Uloom Al Madania (Buffalo, NY)
Daspit Road Elementary School (New Iberia, LA)
Dassel-Cokato Alternative Ctr. (Cokato, MN)
Dassel-Cokato Senior High (Cokato, MN)
Data House (Fort Pierce, FL)
Date Elementary (Fontana, CA)
Datema House (Springfield, MO)
Dauphin County Technical School (Harrisburg, PA)
Dauphin Island Elementary School (Dauphin Island, AL)
Dauphin Junior High School (Enterprise, AL)
Dave Thomas Education Center West (Coconut Creek, FL)
Davenport A+ School (Lenoir, NC)
Davenport HS (Davenport, OK)
Davenport Senior High School (Davenport, WA)
David A. Perdue Elementary School (Warner Robins, GA)
David A. Perdue Primary (Warner Robins, GA)
David Anderson Jr/Sr High School (Lisbon, OH)
David Brearley Middle/High School (Kenilworth, NJ)
David C Abbott Early Learning Center (Morganville, NJ)
David C. Douglass Memorial School (Villas, NJ)
David C. Hinson Sr. Middle School (Daytona Beach, FL)
David City Secondary School (David City, NE)
David Crockett Academy (San Antonio, TX)
David Crockett High School (Jonesborough, TN)
David D Jones Elementary (Greensboro, NC)
David Douglas High School (Portland, OR)
David E. Owens Middle School (New Milford, NJ)
David Ellis Academy (Detroit, MI)
David Ellis Academy West (Redford, MI)
David Emanuel Academy (Stillmore, GA)
David Fairchild Elementary School (Miami, FL)
David Gourley School (Kearns, UT)
David Gregory School (Paramus, NJ)
David H. Hickman High (Columbia, MO)
David H. Ponitz Career Technology Center (Dayton, OH)
David Harrison Elementary (Springfield, MO)
David K Sellars El (Fort Worth, TX)
David L Rahn Jr High School (Mount Morris, IL)
David Louis Memorial School (Grayling, AK)
David Marquis School Of The Arts (The) (Staten Island, NY)
David Mindess (Ashland, MA)
David Paterson School (Hempstead, NY)
David Posnack Jewish Day School (Davie, FL)
David Prouty High (Spencer, MA)
David Smith Elementary School (Delaware, OH)
David Starr Jordan Senior High (Los Angeles, CA)
David Thibodaux Stem Magnet Academy (Lafayette, LA)
David W Carter H S (Dallas, TX)
David Wade Correctional Center (Homer, LA)
David Williams Jr Career &Tech Cnt (Tunica, MS)
Davidson Charter Academy (Lexington, NC)
Davidson County High School (Lexington, NC)
Davidson Day School (Davidson, NC)
Davidson Elementary (San Bernardino, CA)
Davidson Magnet School (Augusta, GA)
Davidson Middle School (Crestview, FL)
Davidson River School (Brevard, NC)
Davidson School (Elwyn, PA)
Davie County High (Mocksville, NC)
Davies Career-Tech High School (Lincoln, RI)
Daviess County High School (Owensboro, KY)
Daviess County Middle School (Owensboro, KY)
Davinci Academy (Ogden, UT)
Davinci School For Science And The Arts (El Paso, TX)
Davis Aerospace & Maritime High School (Cleveland, OH)
Davis Aerospace Technical High School At Golightly (Detroit, MI)
Davis Bilingual Magnet School (Tucson, AZ)
Davis Connect 7-12 (Layton, UT)
Davis County Community High School (Bloomfield, IA)
Davis El (Austin, TX)
Davis Elementary School (Columbus, GA)
Davis Elementary School (Malone, NY)
Davis H S Aldine (Houston, TX)
Davis H. Hart Career Ctr. (Mexico, MO)
Davis High (Kaysville, UT)
Davis High School (Yakima, WA)
Davis Hill Elementary (Holden, MA)
Davis HS (Davis, OK)
Davis N Elem School (Chicago, IL)
Davis Renov Stahler Yeshiva High School -Boys (Woodmere, NY)
Davis Senior High (Davis, CA)
Davis Thayer (Franklin, MA)
Davis Thomas Elementary Middle School (Thomas, WV)
Davis-Ramoth School (Selawik, AK)
Davis-Stuart School (Lewisburg, WV)
Davison Alternative Education (Davison, MI)
Davison Elementarymiddle School (Detroit, MI)
Davison High School (Davison, MI)
Davison Middle School (Davison, MI)
Daw Elementary School (Wellsville, OH)
Dawere International High School (Miami, FL)
Dawes Elem School (Chicago, IL)
Dawes Elementary School (Evanston, IL)
Dawson County High School (Dawsonville, GA)
Dawson Daep (Corsicana, TX)
Dawson El (Dawson, TX)
Dawson Elementary School (Columbus, GA)
Dawson Elementary School (Jackson, MS)
Dawson H S (Dawson, TX)
Dawson High School (Glendive, MT)
Dawson School (Welch, TX)
Dawson Springs Jr/Sr High School (Dawson Spgs, KY)
Dawson-Boyd Secondary (Dawson, MN)
Dawson-Bryant High School (Coal Grove, OH)
Day Anna B Sch (Philadelphia, PA)
Daybreak Alternative School (Spokane, WA)
Daybreak Youth Services (Brush Prairie, WA)
Daybrook Early Headstart Center(Clsd 97) (Fairview, WV)
Daylight/Twilight High School (Trenton, NJ)
Daylor (William) High (Continuation) (Sacramento, CA)
Days Creek Charter School (Days Creek, OR)
