F A Cleveland (Norwood, MA)
F A Day Middle (Newtonville, MA)
F E Bellows Elementary School (Mamaroneck, NY)
F H Jenkins Preparatory School (Nashville, TN)
F L Schlagle High (Kansas City, KS)
F P Caillet El (Dallas, TX)
F S Ervin Elementary School (Pine Hill, AL)
F S Lara Academy (Laredo, TX)
F. E. Dubose Career Center (Manning, SC)
F. W. Buchholz High School (Gainesville, FL)
F.H.L. Academy (Bagley, MN)
Fabens H S (Fabens, TX)
Fabius-Pompey Middle School High School (Fabius, NY)
Face School (Westminster, CO)
Face To Face Academy (Saint Paul, MN)
Facing History High School@Charles Mooney (Cleveland, OH)
Facing History School (The) (New York, NY)
Fact Day Treatment Program (Jacksonville, NC)
Factory Shoals Elementary School (Lithia Springs, GA)
Factoryville Christian School (Athens, MI)
Faga'Itua High School (Pago Pago, AS)
Fair Avenue Elementary (North Hollywood, CA)
Fair Elementary School (Louisville, MS)
Fair Grove High (Fair Grove, MO)
Fair Haven Union High School (Fair Haven, VT)
Fair Lawn High School (Fair Lawn, NJ)
Fair Oaks Elementary (Brooklyn Park, MN)
Fair Park Early Childhood Ctr (Little Rock, AR)
Fair Park Middle School (Shreveport, LA)
Fair Plain East Elementary (Benton Harbor, MI)
Fair Plain Middle School (Benton Harbor, MI)
Fair Play Elem. (Fair Play, MO)
Fair Play High (Fair Play, MO)
Fair School Pilgrim Lane (Plymouth, MN)
Fair Senior High (Minneapolis, MN)
Fair View High (Continuation) (Chico, CA)
Fairbanks B.E.S.T. (Fairbanks, AK)
Fairbanks Elementary (Sacramento, CA)
Fairbanks High School (Milford Center, OH)
Fairbanks Road Elementary School (Churchville, NY)
Fairborn Digital Academy (Fairborn, OH)
Fairborn High School (Fairborn, OH)
Fairborn Intermediate School (Fairborn, OH)
Fairbury Jr-Sr High School (Fairbury, NE)
Fairdale High (Fairdale, KY)
Fairfax Baptist Temple Academy (Fairfax Station, VA)
Fairfax Christian School (Dulles, VA)
Fairfax County Adult High (Springfield, VA)
Fairfax Elem. (Fairfax, MO)
Fairfax Global Academy (Springfield, VA)
Fairfax High (Fairfax, MO)
Fairfax High (Fairfax, VA)
Fairfax Learning Center (Kansas City, KS)
Fairfax Senior High (Los Angeles, CA)
Fairfield Alternative School (Fairfield, AL)
Fairfield Area El Sch (Fairfield, PA)
Fairfield Area HS (Fairfield, PA)
Fairfield Area Vocational School (Fairfield, AL)
Fairfield Career And Technology Center (Winnsboro, SC)
Fairfield Career Center (Carroll, OH)
Fairfield Center School (Fairfield, VT)
Fairfield Central Elementary School (Fairfield, OH)
Fairfield Central High (Winnsboro, SC)
Fairfield Christian Academy (Lancaster, OH)
Fairfield Christian School (Fairfield, CA)
Fairfield Christian School (Hamilton, OH)
Fairfield College Preparatory (Fairfield, CT)
Fairfield Comm High School (Fairfield, IL)
Fairfield East Elementary School (Hamilton, OH)
Fairfield Elementary (Winnsboro, SC)
Fairfield H S (Fairfield, TX)
Fairfield High (Fairfield, CA)
Fairfield High Preparatory School (Fairfield, AL)
Fairfield High School (Fairfield, IA)
Fairfield High School (Fairfield, MT)
Fairfield High School (Fairfield, OH)
Fairfield Jr-Sr High School (Goshen, IN)
Fairfield Local Elementary School (Leesburg, OH)
Fairfield Local High School (Leesburg, OH)
Fairfield Local Middle School (Leesburg, OH)
Fairfield Ludlowe High School (Fairfield, CT)
Fairfield Mennonite School (Fairfield, MT)
Fairfield Schools (Langdon, KS)
Fairfield Township School (Bridgeton, NJ)
Fairfield Union High School (Lancaster, OH)
Fairfield Warde High School (Fairfield, CT)
Fairforest Middle (Spartanburg, SC)
Fairglen Elementary School (Cocoa, FL)
Fairgrounds Elementary School (Nashua, NH)
Fairgrove Academy (La Puente, CA)
Fairhaven High (Fairhaven, MA)
Fairhaven Middle School (Bellingham, WA)
Fairhaven School (Upper Marlboro, MD)
Fairhill School (Dallas, TX)
Fairhope East Elementary (Fairhope, AL)
Fairhope High School (Fairhope, AL)
Fairington Elementary School (Lithonia, GA)
Fairland Es (Fairland, OK)
Fairland High School (Proctorville, OH)
Fairland HS (Fairland, OK)
Fairland Middle School (Proctorville, OH)
Fairlawn Elementary School (Sidney, OH)
Fairlawn High School (Sidney, OH)
Fairless High School (Navarre, OH)
Fairley High School (Memphis, TN)
Fairley School (Hannibal, NY)
Fairmeadows El (Duncanville, TX)
Fairmeadows Elementary School (West Des Moines, IA)
Fairmont Charter Elementary (Vacaville, CA)
Fairmont Heights High (Landover, MD)
Fairmont High (Fairmont, NC)
Fairmont Jr./Sr. High School (Fairmont, MN)
Fairmont Private School (San Juan Capistrano, CA)
Fairmont San Juan Capistrano (San Juan Capistrano, CA)
Fairmont Senior High School (Fairmont, WV)
Fairmount (Hackensack, NJ)
Fairmount Early Childhood Center (Beachwood, OH)
Fairmount Elem. (Independence, MO)
Fairmount Elementary School (Fairmount, GA)
Fairmount High School (Fairmount, ND)
Fairmount Park Elementary School (Seattle, WA)
Fairmount School (Bangor, ME)
Fairport Harding High School (Fairport Harbor, OH)
Fairport Senior High School (Fairport, NY)
Fairton Christian Center (Fairton, NJ)
Fairvalley High (Continuation) (Covina, CA)
Fairview (Crystal, MN)
Fairview 7-8 (Fairview, MT)
Fairview Accelerated (Daep) (San Angelo, TX)
Fairview Accelerated (San Angelo, TX)
Fairview Accelerated Daep (San Angelo, TX)
Fairview Adolescent Education Progr (Maplewood, MN)
Fairview Alternative High School (Roseville, MN)
Fairview Avenue El Sch (Waynesboro, PA)
Fairview Christian Academy (Athens, TN)
Fairview Christian School (Reading, PA)
Fairview Daep (San Angelo, TX)
Fairview El Sch (Mountaintop, PA)
Fairview Elem (Roanoke, VA)
Fairview Elem School (Mt Prospect, IL)
Fairview Elem School (Normal, IL)
Fairview Elementary (Cheyenne, WY)
Fairview Elementary (Covington, GA)
Fairview Elementary (Maryville, TN)
Fairview Elementary School (Bloomington, IN)
Fairview Elementary School (Columbus, MS)
Fairview Elementary School (Fairview, OR)
Fairview Elementary School (Fort Smith, AR)
Fairview Elementary School (Grinnell, IA)
Fairview Elementary School (Stockbridge, GA)
Fairview Elementary School (Texarkana, AR)
Fairview Heights Elementary (Hamlet, NC)
Fairview High School (Ashland, KY)
Fairview High School (Boulder, CO)
Fairview High School (Cullman, AL)
Fairview High School (Fairview Park, OH)
Fairview High School (Fairview, MT)
Fairview High School (Fairview, TN)
Fairview High School (Grant, LA)
Fairview High School (Sherwood, OH)
Fairview HS (Fairview, OK)
Fairview HS (Fairview, PA)
Fairview Middle (Gonzales, CA)
Fairview Program (Elk River, MN)
Fairview Program (Roseville, MN)
Fairview School (Fairview, MI)
Fairview South (Brookfield, WI)
Fairview South Elementary School (Skokie, IL)
Fairview Special Programs (Paint Rock, TX)
Fairview Special Programs (Rowena, TX)
Fairview Special Programs (San Angelo, TX)
Fairview Special Programs (Water Valley, TX)
Fairwinds Christian School (Bear, DE)
Fairwood Elementary School (Hamilton, OH)
Faith Academy - Stockbridge (Stockbridge, GA)
Faith Academy -Buford (Buford, GA)
Faith Academy (Cedar Bluff, VA)
Faith Academy (Conyers, GA)
Faith Academy (Jacksonville, FL)
Faith Academy (Lake City, FL)
Faith Academy (Loganville, GA)
Faith Academy (Mobile, AL)
Faith Academy (Victoria, TX)
Faith Academy Lake Arrowhead (Lake Arrowhead, CA)
Faith Academy Of Marble Falls (Marble Falls, TX)
Faith Assembly Christian Academy (Durham, NC)
Faith Baptist Academy (Franklin, KY)
Faith Baptist Academy (Macclenny, FL)
Faith Baptist Academy (Margate, FL)
Faith Baptist Academy (Spokane, WA)
Faith Baptist Academy (Wesley Chapel, FL)
Faith Baptist Academy (Wildomar, CA)
Faith Baptist Christian Academy (Fairless Hills, PA)
Faith Baptist Christian Academy (Ludowici, GA)
Faith Baptist Christian Academy (Tacoma, WA)
Faith Baptist Christian School (Charlotte, NC)
Faith Baptist Christian School (Pekin, IL)
Faith Baptist School (Davison, MI)
Faith Baptist School (Salisbury, MD)
Faith Bible Academy (Sprakers, NY)
Faith Bible Christian Academy (Rosamond, IL)
Faith Bible Christian School (Hillsboro, OR)
Faith Builders Christian School (Guys Mills, PA)
Faith Christain Academy Lower (Sellersville, PA)
Faith Christian Academy (Arvada, CO)
Faith Christian Academy (Bartlett, TN)
Faith Christian Academy (Coalinga, CA)
Faith Christian Academy (Effingham, SC)
Faith Christian Academy (Fernandina Beach, FL)
Faith Christian Academy (Fredericksburg, VA)
Faith Christian Academy (Goldsboro, NC)
Faith Christian Academy (Jay, FL)
Faith Christian Academy (Kannapolis, NC)
Faith Christian Academy (Kansas City, MO)
Faith Christian Academy (Martinsburg, WV)
Faith Christian Academy (Mc Leansville, NC)
Faith Christian Academy (Morristown, TN)
Faith Christian Academy (Orange Park, FL)
Faith Christian Academy (Orlando, FL)
Faith Christian Academy (Pasadena, TX)
Faith Christian Academy (Roanoke, AL)
Faith Christian Academy (Seneca, PA)
Faith Christian Academy (Spring Hill, FL)
Faith Christian Academy (Tucson, AZ)
Faith Christian Academy (Waynesboro, GA)
Faith Christian Academy (Wharton, TX)
Faith Christian Academy (Wilmot, OH)
Faith Christian Academy & Preschool (Orlando, FL)
Faith Christian Academy Of Plant City (Plant City, FL)
Faith Christian High School (Arvada, CO)
Faith Christian High School (Yuba City, CA)
Faith Christian School (Coleman, WI)
Faith Christian School (Connersville, IN)
Faith Christian School (Foreston, MN)
Faith Christian School (Lafayette, IN)
Faith Christian School (Ramseur, NC)
Faith Christian School (Randolph, WI)
Faith Christian School (Roseto, PA)
Faith Christian School (Spokane, MO)
Faith Christian School (Sudlersville, MD)
Faith Christian School (Walhalla, SC)
Faith Christian School (Washington, PA)
Faith Christian School (Williams Bay, WI)
Faith Christian School & Daycare (Summerville, SC)
