G A R Memorial Jshs (Wilkes-Barre, PA)
G L Wiley Opportunity Center (Waco, TX)
G N Dieterich Elem School (Aurora, IL)
G O A L S Program (Cuero, TX)
G R Edwards Middle (Rocky Mount, NC)
G R Whitfield (Grimesland, NC)
G Ray Bodley High School (Fulton, NY)
G W Bulluck Elementary (Rocky Mount, NC)
G W Carver 6th Grade Stem Learning Center (Lancaster, TX)
G W Carver High School (New Orleans, LA)
G W Trenholm Primary School (Tuscumbia, AL)
G-Star School Of The Arts (West Palm Beach, FL)
G. Frank Russell Technology Center (Greenwood, SC)
G. Holmes Braddock Senior High (Miami, FL)
G. Lisby Elementary At Hillsdale (Aberdeen, MD)
G. Weaver Hipps Elementary School (Lehigh Acres, FL)
Gabbs High School (Gabbs, NV)
Gabilan Hills (Hollister, CA)
Gabriela Mistral (Lares, PR)
Gabriela Mistral (San Juan, PR)
Gabriela Mistral Elementary (Mountain View, CA)
Gabrielino High (San Gabriel, CA)
Gackle-Streeter Elementary School (Gackle, ND)
Gackle-Streeter High School (Gackle, ND)
Gadsden Admin Complex Prek Center (Sunland Park, NM)
Gadsden Central Academy (Quincy, FL)
Gadsden City Alternative School (Gadsden, AL)
Gadsden City High School (Gadsden, AL)
Gadsden County High School (Havana, FL)
Gadsden Elementary (Gadsden, SC)
Gadsden Elementary School (Gadsden, AZ)
Gadsden High (Anthony, NM)
Gadsden Technical Institute (Quincy, FL)
Gadsden Virtual Franchise (Quincy, FL)
Gadsden Virtual Instruction Program (Quincy, FL)
Gaenslen Elementary (Milwaukee, WI)
Gaffney High (Gaffney, SC)
Gaffney Lane Elementary School (Oregon City, OR)
Gage Park High School (Chicago, IL)
Gahanna- Jefferson Clark Hall (Gahanna, OH)
Gahr (Richard) High (Cerritos, CA)
Gaines Alternative At Hamblen (St Augustine, FL)
Gainesboro Elem (Winchester, VA)
Gainesville Elem. (Gainesville, MO)
Gainesville H S (Gainesville, TX)
Gainesville High (Gainesville, MO)
Gainesville High School (Gainesville, FL)
Gainesville High School (Gainesville, GA)
Gainesville J H (Gainesville, TX)
Gainesville Middle (Gainesville, VA)
Gaither High School (Tampa, FL)
Gaithersburg High (Gaithersburg, MD)
Galatia High School (Galatia, IL)
Galax High (Galax, VA)
Galbreath-Marshall Bldg (Culpeper, VA)
Gale Elem Community Academy (Chicago, IL)
Gale School (Galesburg, IL)
Galena Elementary School (K-6) (Holly Springs, MS)
Galena High (Galena, KS)
Galena High (Galena, MO)
Galena High School (Galena, IL)
Galena High School (Reno, NV)
Galena Interior Learning Academy (Gila) (Galena, AK)
Galena Middle School (Galena, IL)
Galena Park H S (Galena Park, TX)
Galena Park Isd Career & Technical Echs (Houston, TX)
Gales Ferry School (Gales Ferry, CT)
Galesburg Area Voc Ctr (Galesburg, IL)
Galesburg Christian School Assoc (Galesburg, IL)
Galesburg High School (Galesburg, IL)
Galesburg Middle School (Galesburg, KS)
Galesburgaugusta Alternative Education (Galesburg, MI)
Galesburgaugusta High School (Galesburg, MI)
Galesburgaugusta Middle School (Augusta, MI)
Galesburgaugusta Primary School (Galesburg, MI)
Galesville-Ettrick-Trempealeau High (Galesville, WI)
Galesville-Ettrick-Trempealeau Middle (Galesville, WI)
Galeton Area Sch (Galeton, PA)
Galewood Early Elementary School (Charlotte, MI)
Galilean Christian Academy (Liberty, KY)
Galileo High (San Francisco, CA)
Galileo Magnet High (Danville, VA)
Galileo School Of Math And Science (Colorado Springs, CO)
Galion High School (Galion, OH)
Gallatin County High School (Warsaw, KY)
Gallatin County Upper Elementary (Warsaw, KY)
Gallatin Elementary (Downey, CA)
Gallatin High (Gallatin, MO)
Gallatin High School (Bozeman, MT)
Gallatin High School (Junction, IL)
Gallatin Junior High School (Junction, IL)
Gallatin Senior High School (Gallatin, TN)
Gallaway Christian Academy (Gallaway, TN)
Gallberry Farm Elementary (Hope Mills, NC)
Gallego Primary Fine Arts Magnet (Tucson, AZ)
Gallia Academy High School (Gallipolis, OH)
Gallia Academy Middle School (Gallipolis, OH)
Galliano Elementary School (Galliano, LA)
Gallup Central Alternative (Gallup, NM)
Gallup Christian School (Gallup, NM)
Gallup High (Gallup, NM)
Gallup Hill School (Ledyard, CT)
Gallup Middle (Gallup, NM)
Galm El (San Antonio, TX)
Galt High (Galt, CA)
Galtier Elementary School (Saint Paul, MN)
Galva Jr-Sr High School (Galva, IL)
Galvin Middle School (Wakefield, MA)
Galway Elementary (Silver Spring, MD)
Galway Junior/Senior High School (Galway, NY)
Gambell School (Gambell, AK)
Gammon Elem (Wichita, KS)
Gamp (Philadelphia, PA)
Gams High Tech Magnet School (Newburgh, NY)
Ganado H S (Ganado, TX)
Ganado High School (Ganado, AZ)
Ganado Middle School (Ganado, AZ)
Ganesha High (Pomona, CA)
Gann Academy-The New Jewish High School (Waltham, MA)
Gans HS (Gans, OK)
