270 - Hap - Is (Minnetonka, MN)
270 Hopkins Alternative (Minnetonka, MN)
270 Hopkins Is (Hopkins, MN)
360 High School (Providence, RI)
5280 High School (Denver, CO)
H Ashton Marsh (Absecon, NJ)
H Bob Daniel Sr Int (Duncanville, TX)
H C Carleston El (Pearland, TX)
H C Crittenden Middle School (Armonk, NY)
H C Williams Senior High School (Canton, NY)
H D Staples El (Joshua, TX)
H F Epstein Hebrew Academy (Saint Louis, MO)
H Frank Carey High School (Franklin Square, NY)
H Grady Spruce H S (Dallas, TX)
H Kenneth Kirchner School (Jefferson City, MO)
H L Harshman Middle School (Indianapolis, IN)
H L Richards High Sch(Campus) (Oak Lawn, IL)
H L Trigg Community (Elizabeth City, NC)
H M King H S (Kingsville, TX)
H O Whitehurst El (Groesbeck, TX)
H R Moye El (El Paso, TX)
H S Ahead Academy (Houston, TX)
H S For Law And Justice (Houston, TX)
H S Point (Deer Park, TX)
H-L-V Junior-Senior High School (Victor, IA)
H. A. Hyde Elementary (Watsonville, CA)
H. A. Snow Elementary (Newark, CA)
H. Allen Hight Elementary (Sacramento, CA)
H. B. Rhame Elementary (Columbia, SC)
H. B. Swofford Career Center (Inman, SC)
H. Byron Masterson Elem. (Kennett, MO)
H. C. Wilcox Technical High School (Meriden, CT)
H. E. Corley Elementary (Irmo, SC)
H. Glenn Richardson (Fairfield, CA)
H. H. Ellis Technical High School (Danielson, CT)
H. L. Bourgeois High School (Gray, LA)
H. L. Johnson Elementary School (Royal Palm Beach, FL)
H. Russel Swift Elementary School (Egg Harbor Township, NJ)
H. W. Byers Elementary (K-4) (Holly Springs, MS)
H. W. Byers High School (5-12) (Holly Springs, MS)
H. W. Wheatley Early Childhood Center (Capitol Heights, MD)
H. Y. Livesay Middle School (Harrogate, TN)
H.B. Price Elementary School (Mangilao, GU)
H.D. Woodson HS (Washington, DC)
H.E.A.R.T. High School (Rochester, WA)
H.F. Epstein Hebrew Academy (Saint Louis, MO)
H.O.M.E. Program (Renton, WA)
Ha:San Preparatory & Leadership School (Tucson, AZ)
Haaheo Elementary School (Hilo, HI)
Haas Hall Academy (Fayetteville, AR)
Haas Hall Academy At The Lane (Rogers, AR)
Haas Hall Academy Jones Center (Springdale, AR)
Haas Hall Bentonville (Bentonville, AR)
Haber Oaks Campus (Crystal Lake, IL)
Habersham Central High School (Mt Airy, GA)
Habersham Ninth Grade Academy (Mount Airy, GA)
