283-Ind Stdy 15 And Under - I.S. (Saint Louis Park, MN)
917 Intra-Dakota Educational Alt (Rosemount, MN)
I A N T Quranic Academy (Richardson, TX)
I C Evans El (Burkburnett, TX)
I Kan Regional Alternatve Att Ctr (Kankakee, IL)
I Preparatory Academy (Miami, FL)
I S Kosloff Torah Academy High School For Girls (Bala Cynwyd, PA)
I T Holleman El (Waller, TX)
I W And Eleanor Hyde El (League City, TX)
I.C. Norcom High (Portsmouth, VA)
Ibck Educational Center (Kissimmee, FL)
Iberia Elem. (Iberia, MO)
Iberia High (Iberia, MO)
Iberville Elementary School (Plaquemine, LA)
Ibn Seena Academy (Orlando, FL)
Ic Catholic Prep (Elmhurst, IL)
Ic Imagine (Asheville, NC)
Ica Cristo Rey (San Francisco, CA)
Icademy Global (Zeeland, MI)
Iccf Ed Program (Coupeville, WA)
Icef View Park Preparatory High (Los Angeles, CA)
Ichabod Crane Senior High School (Valatie, NY)
Icl Academy For Film And Performing Arts (Los Angeles, CA)
Ida Crown Jewish Academy (Chicago, IL)
Ida Crown Jewish Academy (Skokie, IL)
Ida Flood Dodge Traditional Middle Magnet School (Tucson, AZ)
Ida High School (Ida, MI)
Ida S. Baker High School (Cape Coral, FL)
Idabel HS (Idabel, OK)
Idabel Ms (Idabel, OK)
Idaho Arts Charter School (Nampa, ID)
Idaho City High School (Idaho City, ID)
Idaho Connects Online Alternative School (Boise, ID)
Idaho Connects Online School (Nampa, ID)
Idaho Falls Senior High School (Idaho Falls, ID)
Idaho Fine Arts Academy (Eagle, ID)
Idaho School For The Deaf And The Blind (Gooding, ID)
Idaho Technical Career Academy (Meridian, ID)
Idaho Youth Challenge Academy Fall (Pierce, ID)
Idaho Youth Challenge Academy Spring (Pierce, ID)
Idalia Junior-Senior High School (Idalia, CO)
Idalou H S (Idalou, TX)
Idea Academy Mission (Mission, TX)
Idea Academy San Benito (San Benito, TX)
Idea Brackenridge Academy (San Antonio, TX)
Idea Brownsville Academy (Brownsville, TX)
Idea Brownsville College Preparatory (Brownsville, TX)
Idea Carver College Preparatory (San Antonio, TX)
Idea Center (El Cajon, CA)
Idea College Prep (Donna, TX)
Idea College Prep Weslaco (Weslaco, TX)
Idea College Preparatory Alamo (Alamo, TX)
Idea College Preparatory Mission (Mission, TX)
Idea College Preparatory Pharr (Pharr, TX)
Idea College Preparatory San Benito (San Benito, TX)
Idea College Preparatory San Juan (San Juan, TX)
Idea Eastside Academy (San Antonio, TX)
Idea Edinburg Academy (Edinburg, TX)
Idea Edinburg College Preparatory (Edinburg, TX)
Idea Frontier College Preparatory (Brownsville, TX)
Idea Mcallen College Preparatory (Mcallen, TX)
Idea Monterrey Park College Preparatory (San Antonio, TX)
Idea Montopolis Academy (Austin, TX)
Idea Montopolis College Preparatory (Austin, TX)
Idea Najim Academy (San Antonio, TX)
Idea North Mission Academy (Mission, TX)
Idea North Mission College Preparatory (Mission, TX)
Idea Pcs (Washington, DC)
Idea Quest College Preparatory (Edinburg, TX)
Idea Riverview Academy (Brownsville, TX)
Idea Riverview College Preparatory (Brownsville, TX)
