K B Polk Center For Academically Talented & Gifted (Dallas, TX)
K E Kaufman Alternative Education Center (Klein, TX)
K-12 Ellensburg Learning Center (Ellensburg, WA)
K-School (Des Moines, WA)
Ka Waihona O Ka Naauao - Pcs (Waianae, HI)
Kaahumanu Hou Christian School (Kahului, HI)
Kachemak Selo School (Kachemak, AK)
Kadoka Area High School - 01 (Kadoka, SD)
Kaelepulu Elementary School (Kailua, HI)
Kagman High School (Saipan, MP)
Kahakai Elementary School (Kailua-Kona, HI)
Kahlil Gibran School (Yonkers, NY)
Kahlotus Elem & High (Kahlotus, WA)
Kahuku High & Intermediate School (Kahuku, HI)
Kahului Elementary School (Kahului, HI)
Kailua High School (Kailua, HI)
Kaimuki Christian School (Honolulu, HI)
Kaimuki High School (Honolulu, HI)
Kainalu Elementary School (Kailua, HI)
Kaiser Elementary School (Denver, CO)
Kaizen Education Foundation Dba El Dorado High School (Chandler, AZ)
Kaizen Education Foundation Dba Gilbert Arts Academy (Gilbert, AZ)
Kaizen Education Foundation Dba Maya High School (Phoenix, AZ)
Kaizen Education Foundation Dba Quest High School (Phoenix, AZ)
Kaizen Education Foundation Dba South Pointe Elementary Scho (Phoenix, AZ)
Kaizen Education Foundation Dba Summit High School (Phoenix, AZ)
Kake Elementary & High School (Kake, AK)
Kalaheo High School (Kailua, HI)
Kalama High School (Kalama, WA)
Kalamazoo Area Math And Science Center (Kalamazoo, MI)
Kalamazoo Central High School (Kalamazoo, MI)
Kalamazoo Christian High School (Kalamazoo, MI)
Kalamazoo Covenant Academy (Kalamazoo, MI)
Kalamazoo Innovative Learning Program (Kalamazoo, MI)
Kalamazoo Resa West Campusyoung Adult Program (Kalamazoo, MI)
Kalani High School (Honolulu, HI)
Kalapuya High School (Eugene, OR)
Kaleidoscope Academy (Appleton, WI)
Kaleidoscope Charter High School (Otsego, MN)
Kaleidoscope School Of Discovery (Panama City, FL)
Kali School (Point Lay, AK)
Kalida Elementary School (Kalida, OH)
Kalida High School (Kalida, OH)
Kalkaska High School (Kalkaska, MI)
Kalles Junior High (Puyallup, WA)
Kaltag School (Kaltag, AK)
Kamaile Academy Pcs (Waianae, HI)
Kamalani Academy (Wahiawa, HI)
Kamehameha Schools Hawai'I (Keaau, HI)
Kamehameha Schools Kapalama Campus (Honolulu, HI)
Kamehameha Schools Maui (Makawao, HI)
Kamiah Bible Academy (Kamiah, ID)
Kamiah Senior High (Kamiah, ID)
Kamiak High School (Mukilteo, WA)
Kamiakin High School (Kennewick, WA)
Kamiloiki Elementary School (Honolulu, HI)
Kanab High (Kanab, UT)
Kanapaha Middle School (Gainesville, FL)
Kane Area HS (Kane, PA)
Kane Preschool (Kanab, UT)
Kaneland Senior High School (Maple Park, IL)
Kankakee Area Career Center (Bourbonnais, IL)
Kankakee Area Co-Op Day School (Saint Anne, IL)
Kankakee High School (Kankakee, IL)
Kankakee Trinity Academy (Kankakee, IL)
Kankakee Valley High School (Wheatfield, IN)
Kannapolis Middle (Kannapolis, NC)
Kanopolis Middle (Kanopolis, KS)
Kansas Connections Academy (Elkhart, KS)
Kansas High School (Kansas, IL)
Kansas HS (Kansas, OK)
Kansas Ms (Kansas, OK)
Kanu O Ka Aina - New Century Pcs (Kamuela, HI)
Kanuikapono - Pcs (Anahola, HI)
Kanuikapono Learning Center (Anahola, HI)
Kapaa High School (Kapaa, HI)
Kapalama Elementary School (Honolulu, HI)
Kapaun Mt Carmel Catholic High School (Wichita, KS)
Kaplan Career Academy (New Windsor, NY)
Kaplan Elementary School (Kaplan, LA)
Kaplan High School (Kaplan, LA)
Kapolei Charter School By Goodwill Hawaii (Kapolei, HI)
Kapolei High School (Kapolei, HI)
Kapowsin Elementary (Graham, WA)
Karen M. Siegel Academy (Lake Alfred, FL)
Karen Wagner H S (San Antonio, TX)
Karl G. Maeser Preparatory Academy (Lindon, UT)
Karl Richter Campus (Holly, MI)
Karnes City H S (Karnes City, TX)
Karnes City J J A E P (Floresville, TX)
Karns City HS (Karns City, PA)
Karns High School (Knoxville, TN)
Karval Junior-Senior High School (Karval, CO)
Kase Academy (Houston, TX)
Kashmere H S (Houston, TX)
Kasson-Mantorville Senior High (Kasson, MN)
Kasuun Elementary (Anchorage, AK)
Katahdin Middle/High School (Stacyville, ME)
Kate D Smith Dar High School (Grant, AL)
Kate Dowdall Elementary School (Flint, MI)
Kate M. Smith Elementary School (Chipley, FL)
Kate Shepard Elementary School (Mobile, AL)
Kate Sullivan Elementary School (Tallahassee, FL)
Katella High (Anaheim, CA)
Katharine D Malone Elementary School (Rockaway, NJ)
Katherine Anne Porter School (Wimberley, TX)
Katherine Dunn Elementary (Sparks, NV)
Katherine Edwards Middle (Whittier, CA)
Katherine Finchy Elementary (Palm Springs, CA)
Katherine H Hankins Middle School (Theodore, AL)
Katherine L. Albiani Middle (Elk Grove, CA)
Kathleen Elementary School (Lakeland, FL)
Kathleen Senior High School (Lakeland, FL)
Kathlyn Joy Gilliam Collegiate Academy (Dallas, TX)
Kato Public Charter School (Mankato, MN)
Katy H S (Katy, TX)
Katy J H (Katy, TX)
Katz Yeshiva High School Of S Fla (Boca Raton, FL)
Kau High & Pahala Elementary School (Pahala, HI)
Kauai Christian Academy (Kilauea, HI)
Kauai High School (Lihue, HI)
Kaufer H S (Riviera, TX)
Kaufman Christian School (Kaufman, TX)
Kaufman El (Spring, TX)
Kaufman H S (Kaufman, TX)
Kaukauna High (Kaukauna, WI)
Kauri Sue Hamilton (Riverton, UT)
Kawaikini - Ncpcs (Lihue, HI)
Kawana Springs Elementary (Santa Rosa, CA)
Kaweah High (Exeter, CA)
Kay Road Elementary (Byron, GA)
Kaycee School (Kaycee, WY)
Kayenta Elementary School (Kayenta, AZ)
Kayenta Middle School (Kayenta, AZ)
Kazen El (Laredo, TX)
Kc International-Wallace (Kansas City, MO)
Ke Ana Laahana - Pcs (Hilo, HI)
Ke Kula Niihau O Kekaha Learning Center - A Laboratory Pcs (Kekaha, HI)
Ke Kula Niihau O Kekaha Learning Center (Kekaha, HI)
Ke Kula O Ehunuikaimalino (Kealakekua, HI)
Ke Kula O Samuel M Kamakau - A Laboratory Pcs (Kaneohe, HI)
Keaau High School (Keaau, HI)
Kealakehe High School (Kailua-Kona, HI)
Kean Elementary School (Wooster, OH)
Keansburg High School (Keansburg, NJ)
Kearney High (Kearney, MO)
Kearney High School (Kearney, NE)
Kearney Jr. High (Kearney, MO)
Kearns Academy (High Point, NC)
Kearns High (Kearns, UT)
Kearny College Connections (San Diego, CA)
Kearny Digital Media & Design (San Diego, CA)
Kearny Eng Innov & Design (San Diego, CA)
Kearny High School (Kearny, NJ)
Kearny School Of Biomedical Science And Technology (San Diego, CA)
Kearsarge Reg. Elementary School - Bradford (Bradford, NH)
Kearsley High School (Flint, MI)
Kearsley Street (Flint, MI)
Kec Area Voc Center (Malta, IL)
Kec Central Efe 170 (Malta, IL)
Kecoughtan High (Hampton, VA)
Kedron Elementary School (Peachtree City, GA)
Kee High School (Lansing, IA)
Keen Mountain Christian Academy (Oakwood, VA)
Keenburg Elementary (Elizabethton, TN)
Keene Central School (Keene Valley, NY)
Keene Elementary School (Keene, OH)
Keene H S (Keene, TX)
Keene High School (Keene, NH)
Keene Mill Elem (Springfield, VA)
Kehillah Jewish High School (Palo Alto, CA)
Keith Bovenschen School (Warren, MI)
Keith Country Day School (Rockford, IL)
Keith Mccarthy Academy (Lake Elsinore, CA)
Keith Middlehigh School (Orrville, AL)
Keizer Elementary School (Keizer, OR)
Kell High School (Marietta, GA)
Kellenberg Memorial High School (Uniondale, NY)
Keller Early Learning Center - North (Keller, TX)
Keller Elementary School (Keller, WA)
Keller H S (Keller, TX)
Keller Learning Center (Keller, TX)
Keller-Harvel El (Keller, TX)
Kelley Lake Elementary School (Decatur, GA)
Kelleys Island High School (Kelleys Island, OH)
Kelliher Secondary (Kelliher, MN)
Kellogg (Karl H.) Elementary (Chula Vista, CA)
Kellogg Elem School (Chicago, IL)
Kellogg Elementary (Goleta, CA)
Kellogg High School (Kellogg, ID)
Kellogg Middle School (Shoreline, WA)
Kelloggsville Early Childhood Learning Center (Wyoming, MI)
Kelloggsville High School (Wyoming, MI)
Kelly (Phoenix, AZ)
Kelly Creek Elementary School (Gresham, OR)
Kelly Elementary (Kelly, WY)
Kelly Elementary School (Portland, OR)
Kelly Elementary School (W Orange, NJ)
Kelly John B Sch (Philadelphia, PA)
Kelly Lane Primary School (Granby, CT)
Kelly Middle School (Eugene, OR)
Kelly Miller Ms (Washington, DC)
Kelly Primary Sch (Wilkinsburg, PA)
Kelly School (Elizabethtown, PA)
Kelly Springs Elementary School (Dothan, AL)
Kelly Walsh High School (Casper, WY)
Kellybrook Elem School (Kansas City, MO)
Kellyville HS (Kellyville, OK)
Kelseyville Community Day (Kelseyville, CA)
Kelseyville High (Kelseyville, CA)
Kelseyville Learning Academy (Kelseyville, CA)
Kelso Goal Oriented Learning Design (Longview, WA)
Kelso High School (Kelso, WA)
Kelton School (Wheeler, TX)
Kelvyn Park High School (Chicago, IL)
Kemmerer Junior Senior High School (Kemmerer, WY)
Kemmerer Village School (Assumption, IL)
Kemp Alternative (Kemp, TX)
Kemp Elementary School (Powder Springs, GA)
Kemp H S (Kemp, TX)
Kemp J H (Kemp, TX)
Kemp Pri (Kemp, TX)
Kemper Academy (De Kalb, MS)
Kemper County High School (Dekalb, MS)
Kemper Elementary School (Cortez, CO)
Kempner H S (Sugar Land, TX)
Kempsville Center For Behavioral Health (Norfolk, VA)
Kempsville High (Virginia Beach, VA)
Kempton Elementary School (Saginaw, MI)
Ken 'Chief' Hill Learning Academy (Chandler, AZ)
Kenai Alternative High School (Kenai, AK)
Kenai Central High School (Kenai, AK)
Kendall Elementary (Maple Falls, WA)
Kendall Elementary (San Bernardino, CA)
Kendall Elementary School (Norwalk, CT)
Kendall Junior-Senior High School (Kendall, NY)
Kendallvue Elementary School (Morrison, CO)
Kendrick High School (Columbus, GA)
Kendrick Jr/Sr High School (Kendrick, ID)
Kendrick Middle School (Jonesboro, GA)
Kenedy H S (Kenedy, TX)
Kenesaw Elementary School (Kenesaw, NE)
Kenesaw Secondary School (Kenesaw, NE)
Kenmare Elementary School (Kenmare, ND)
Kenmare High School (Kenmare, ND)
Kenmore East Senior High School (Tonawanda, NY)
Kenmore Elementary (Baldwin Park, CA)
Kenmore Middle School (Kenmore, WA)
Kenmore West Senior High School (Buffalo, NY)
Kenmore/Garfield High School (Akron, OH)
Kenna Elementary School (Kenna, WV)
Kennard Isd (Kennard, TX)
Kennard-Dale HS (Fawn Grove, PA)
Kennebunk Elementary School (Kennebunk, ME)
Kennebunk High School (Kennebunk, ME)
Kennedale Alter Ed Prog (Kennedale, TX)
Kennedale H S (Kennedale, TX)
Kennedy Center (Pontiac, MI)
Kennedy El (Corpus Christi, TX)
Kennedy Elem (Lawrence, KS)
Kennedy Elem School (Omaha, NE)
Kennedy Elementary (Green Bay, WI)
Kennedy Elementary (Janesville, WI)
Kennedy Elementary (Junction City, WI)
Kennedy Elementary (Lindsay, CA)
Kennedy Elementary (Stockton, CA)
Kennedy Elementary School (Fargo, ND)
Kennedy Elementary School (Keizer, OR)
Kennedy Elementary School (Mccomb, MS)
Kennedy Elementary School (Medford, OR)
Kennedy High School (Chicago, IL)
Kennedy High School (Fergus Falls, MN)
Kennedy Institute (Washington, DC)
Kennedy Learning Center (Southfield, MI)
Kennedy Middle (Albuquerque, NM)
Kennedy Middle (Charlotte, NC)
Kennedy Middle (El Centro, CA)
Kennedy Middle School (Fergus Falls, MN)
Kennedy Middle School (Saint Clair Shores, MI)
Kennedy School (Butte, MT)
Kennedy School (Valentine, NE)
Kennedy Senior High (Bloomington, MN)
