1 Lt Charles W. Whitcomb School (Marlborough, MA)
L A Muldown School (Whitefish, MT)
L A Webber Middle-High School (Lyndonville, NY)
L B Johnson El (Odessa, TX)
L B Morris El Sch (Jim Thorpe, PA)
L F Smith Elementary (Columbus, IN)
L G Nourse Elementary (Norton, MA)
L G Pinkston H S (Dallas, TX)
L J Bell Elementary (Rockingham, NC)
L J Stevens Intermediate School (Wilmington, IL)
L N Stem Academy (Knoxville, TN)
L V Stockard Middle (Dallas, TX)
L. B. Nelson Elementary (Columbia, SC)
L. D. Mcarthur Elementary School (Pensacola, FL)
L.A. County High School For The Arts (Los Angeles, CA)
L.B. Johnson Elementary School (Tamuning, GU)
L.F. Henderson Interm. Sch. (Ashdown, AR)
L.H. Tanglen Elementary (Minnetonka, MN)
L.P. Monteleone Junior High School (Mandeville, LA)
L.W. Higgins High School (Marrero, LA)
L' Abris Academy (Aledo, IL)
L'Etoile Du Nord French Immersion U (Saint Paul, MN)
L'Ouverture Computer Technology Magnet (Wichita, KS)
La Academia De Esperanza (Albuquerque, NM)
La Academia Partnership Cs (Lancaster, PA)
La Amistad (Maitland, FL)
La Canada High (La Canada, CA)
La Causa Charter School (Milwaukee, WI)
La Center High School (La Center, WA)
La Cheim School, Inc. (El Sobrante, CA)
La Cima Charter School (Brooklyn, NY)
La Colina Junior High (Santa Barbara, CA)
La Conner High School (La Conner, WA)
La Contenta Middle (Yucca Valley, CA)
La Costa Canyon High (Encinitas, CA)
La Crescent Sec Montessori/Stem (La Crescent, MN)
La Crescent Senior High (La Crescent, MN)
La Crescent-Hokah Middle School (La Crescent, MN)
La Crosse High (La Crosse, KS)
La Cuesta Continuation High (Santa Barbara, CA)
La Cueva High (Albuquerque, NM)
La Entrada Continuation High (Fair Oaks, CA)
La Europa Academy (Murray, UT)
La Europa Academy (Salt Lake City, UT)
La Familia Continuation High (Thermal, CA)
La Farge High (La Farge, WI)
La Fargeville Central School (La Fargeville, NY)
La Fayette Junior-Senior High School (Lafayette, NY)
La Feria Academy (La Feria, TX)
La Feria H S (La Feria, TX)
La Fetra Elementary (Glendora, CA)
La Granada Elementary (Riverside, CA)
La Grande High School (La Grande, OR)
La Grange H S (La Grange, TX)
La Habra High (La Habra, CA)
La Harpe Junior High School (La Harpe, IL)
La Jolla Country Day School (La Jolla, CA)
La Jolla High (La Jolla, CA)
La Joya Community High School (Avondale, AZ)
La Joya H S (La Joya, TX)
La Joya Palmview H S (Mission, TX)
La Junta Jr/Sr High School (La Junta, CO)
La Lumiere School (Laporte, IN)
La Luz Elementary (La Luz, NM)
La Mariposa (Camarillo, CA)
La Marque H S (La Marque, TX)
La Mesa Arts Academy (La Mesa, CA)
La Mesa El (Plainview, TX)
La Mirada Elementary (San Ysidro, CA)
La Mirada High (La Mirada, CA)
La Moille High School (La Moille, IL)
La Monte High (La Monte, MO)
La Paloma Elementary (Fallbrook, CA)
La Paloma High (Continuation) (Brentwood, CA)
La Pietra Hawaii School For Girls (Honolulu, HI)
La Plata High (La Plata, MO)
La Plata High School (La Plata, MD)
