7933 Main St. (Kansas City, MO)
916 Mahtomedi Academy (White Bear Lake, MN)
M A Lynch Elementary School (Redmond, OR)
M C S Noble Middle (Wilmington, NC)
M L King Middle (Beaumont, TX)
M Marcus Kiley Middle (Springfield, MA)
M Rivas El (Donna, TX)
M. S. Palmer High School (Marks, MS)
M.D. Williams Intermediate School (Pocahontas, AR)
M.E. Norman Elementary School (Morgan City, LA)
M.O.T. Academy (Miami, FL)
M&M Learning Center (Lanham, MD)
Ma Academy For Math And Science School (Worcester, MA)
Ma'Or Yeshiva High School For Boys (Long Branch, NJ)
Maac Community Charter (Chula Vista, CA)
Maarif School (Bloomfield, NJ)
Maayanot Yeshiva High School For Girls (Teaneck, NJ)
Mabank H S (Mabank, TX)
Mabank Int (Mabank, TX)
Mabel K Holland Elementary School (Fort Wayne, IN)
Mabel-Canton Secondary (Mabel, MN)
Mabelle B. Avery Middle School (Somers, CT)
Mabelvale Elementary School (Mabelvale, AR)
Mabelvale Middle School (Mabelvale, AR)
Mableton Christian Academy (Mableton, GA)
Mabry Elementary School (Tampa, FL)
Mabry Middle School (Marietta, GA)
Mabton Jr. Sr. High (Mabton, WA)
Mabton Step Up To College (Grandview, WA)
Mac Arthur Elementary (Las Cruces, NM)
Macario Garcia Middle (Sugar Land, TX)
Macarthur El (Galena Park, TX)
Macarthur H S (Houston, TX)
Macarthur H S (Irving, TX)
Macarthur H S (San Antonio, TX)
Macarthur High School (Decatur, IL)
Macarthur HS (Lawton, OK)
Macarthur Middle School (Prospect Heights, IL)
Macarthur Ms-D/Hh Ms Program (Prospect Heights, IL)
Macarthur School (Binghamton, NY)
Macbeth Academy (Irvine, CA)
Macc (Minneapolis, MN)
Macc Extended (Minneapolis, MN)
Maccormick Secure Center (Brooktondale, NY)
Maccray Senior High (Clara City, MN)
Macdougall High (Ridgeville, SC)
Macdowell Montessori School K3-12 (Milwaukee, WI)
Macdowell Preparatory Academy (Detroit, MI)
Mace'S Lane Middle School (Cambridge, MD)
Macedonian Christian Academy (Alamo, TX)
Macgregor Elementary School (Bay City, MI)
Macgregor High (Continuation) (Albany, CA)
Machias Memorial High School (Machias, ME)
Machon Los Angeles (Los Angeles, CA)
Mackay Jr/Sr High School (Mackay, ID)
Mackeben Elementary School (Algonquin, IL)
Mackensen Elementary School (Bay City, MI)
Mackey El (Balch Springs, TX)
Mackinac Island School (Mackinac Island, MI)
