18+ Program (Hastings, NE)
4126 - Prairie Seeds Academy - Is (Brooklyn Park, MN)
917 Paces (Rosemount, MN)
P E P (Pep, TX)
P S Jones Middle (Washington, NC)
P-Tech Norwalk (Norwalk, CT)
P. K. Yonge Virtual Franchise (Gainesville, FL)
P.K. Yonge Developmental Research School (Gainesville, FL)
Pa Treatment & Healing - East Stroudsburg (East Stroudsburg, PA)
Pablo Casals (Bayamon, PR)
Pablo Colon Berdecia (Barranquitas, PR)
Pablo David Burgos Marrero (Nueva Sup Con Depart Vocacional) (Corozal, PR)
Pablo Roybal Elementary (Santa Fe, NM)
Pace (Gainesville, FL)
Pace Alternative High School (Wapato, WA)
Pace Alternative School (Pittsfield, IL)
Pace Brantley School (Longwood, FL)
Pace Center For Girls (Bradenton, FL)
Pace Center For Girls (Lakeland, FL)
Pace Center For Girls (Lecanto, FL)
Pace Center For Girls (Miami, FL)
Pace Center For Girls (New Port Richey, FL)
Pace Center For Girls (Orlando, FL)
Pace Center For Girls (Ormond Beach, FL)
Pace Center For Girls (Palm Beach Springs, FL)
Pace Center For Girls (Pinellas Park, FL)
Pace Center For Girls (Spring Hill, FL)
Pace Center For Girls (Tallahassee, FL)
Pace Center For Girls (Tampa, FL)
Pace Center For Girls Clay (Orange Park, FL)
Pace Center For Girls Inc. (Ocala, FL)
Pace Center For Girls Inc. (Wilton Manors, FL)
Pace Center For Girls Treasure Coast (Fort Pierce, FL)
Pace Center For Girls-Jax (Jacksonville, FL)
Pace Correspondence (Craig, AK)
Pace Early College H S (Brownsville, TX)
Pace High School (New York, NY)
Pace High School (Pace, FL)
Pace Preparatory Academy (Prescott Valley, AZ)
Pace Program (Pensacola, FL)
Pace School (Pittsburgh, PA)
Pace School For Girls (Ft Myers, FL)
Pacelli Catholic High School (Stevens Point, WI)
Pacelli Catholic Schools (Austin, MN)
Pacheco Elementary (Redding, CA)
Pacheco High (Los Banos, CA)
Pacific Academy (Encinitas, CA)
Pacific Academy (Irvine, CA)
Pacific Baptist School (Long Beach, CA)
Pacific Bay Christian School (Pacifica, CA)
Pacific Beach Elementary (San Diego, CA)
Pacific Beach High (San Luis Obispo, CA)
Pacific Buddhist Academy (Honolulu, HI)
Pacific Career And Technology High (North Highlands, CA)
Pacific Cascade Middle School (Issaquah, WA)
Pacific Coast Academy (Poway, CA)
Pacific Coast Charter (Watsonville, CA)
Pacific Coast High (Continuation) (Arcata, CA)
Pacific Collegiate Charter (Santa Cruz, CA)
Pacific Community Charter (Point Arena, CA)
Pacific County Jail (South Bend, WA)
Pacific Crest Community School (Portland, OR)
Pacific Crest Innovation Academy (Cook, WA)
Pacific Drive Elementary (Fullerton, CA)
Pacific Grove High (Pacific Grove, CA)
Pacific Heritage Academy (Salt Lake City, UT)
Pacific High (Pacific, MO)
Pacific High (San Bernardino, CA)
Pacific High (Ventura, CA)
Pacific High School (Port Orford, OR)
Pacific High School (Sitka, AK)
Pacific Law Academy (Stockton, CA)
Pacific Learning Academy (Issaquah, WA)
Pacific Northwest Connections Academy (Tumwater, WA)
Pacific Point Christian School (Gilroy, CA)
Pacific Ridge School (Carlsbad, CA)
Pacific Rim Int'L School (San Mateo, CA)
Pacific Springs Charter (Chula Vista, CA)
Pacific Valley (K-12) (Big Sur, CA)
Pacific View Academy (Arroyo Grande, CA)
Pacific View Charter (Oceanside, CA)
Pacific View Charter 2.0 (Eureka, CA)
Pacific Virtual Learning (South Bend, WA)
Pacifica Christian High School (Santa Monica, CA)
Pacifica High (Garden Grove, CA)
Pacifica High (Oxnard, CA)
Packard Children'S Hospital/Stanford (Palo Alto, CA)
Packer Ridge Academy (Lehighton, PA)
Packinghouse Christian Academy (Redlands, CA)
Pacoima Middle (Pacoima, CA)
Pact Charter Secondary (Ramsey, MN)
Pactolus (Greenville, NC)
Pactt Learning Center (Chicago, IL)
Pactt Learning Center (Oak Park, IL)
Paddock Lane School (Beatrice, NE)
Paddock Road Elementary School (Omaha, NE)
Paddock View Residential Center (Marion, IN)
Paden City Elementary School (Paden City, WV)
Paden City High School (Paden City, WV)
Paden HS (Paden, OK)
Padonia International Elementary (Cockeysville, MD)
Padre Anibal Reyes Belen (Sup Nueva) (Hatillo, PR)
Padre Pio Academy (Garden Grove, CA)
Padre Rufo (Bilingue) (San Juan, PR)
Padua Academy (Wilmington, DE)
Paducah Area Technology Center (Paducah, KY)
Paducah School (Paducah, TX)
Paducah Tilghman High School (Paducah, KY)
Paec Alternative High School (Maywood, IL)
Paec Education Center Ec (Maywood, IL)
Paetow H S (Katy, TX)
Page County High (Shenandoah, VA)
Page County Middle (Shenandoah, VA)
Page High (Greensboro, NC)
Page High School (Page, AZ)
Page Hilltop Elementary School (Ayer, MA)
Page Middle (Gloucester, VA)
Page School Center (Pineville, KY)
Pageland Elementary (Pageland, SC)
Pagosa Springs High School (Pagosa Springs, CO)
Pagosa Springs Middle School (Pagosa Springs, CO)
Pagosa Valor Academy (Pagosa Springs, CO)
Pahoa High & Intermediate School (Pahoa, HI)
Pahokee Middle-Senior High (Pahokee, FL)
Pahranagat Valley Elementary School (Alamo, NV)
Pahranagat Valley High School (Alamo, NV)
Pahranagat Valley Middle School (Alamo, NV)
Pahrump Valley High School (Pahrump, NV)
Paideia Classical Christian School (Dba) (Tampa, FL)
Paideia Classical Christian School (Gladstone, OR)
Paideia Cooperative School (Anchorage, AK)
Paideia Educational Heritage (Santa Rosa, CA)
Paideia High School (Valley, WA)
Paideia School (Atlanta, GA)
Paideia School 15 (Yonkers, NY)
Paige Elementary School (Schenectady, NY)
Paint Branch High (Burtonsville, MD)
Paint Creek Academy (Bainbridge, OH)
Paint Creek Elementary School (Lake Orion, MI)
Paint Creek School (Haskell, TX)
Paint Rock School (Paint Rock, TX)
Paint Valley High School (Bainbridge, OH)
Paint Valley Middle School (Bainbridge, OH)
Painted Rock Elementary (Poway, CA)
Painted Sky Elementary (Albuquerque, NM)
Paintsville High School (Paintsville, KY)
Paisley School (Paisley, OR)
Pajaro Valley High (Watsonville, CA)
Pakachoag School (Auburn, MA)
Palacios H S (Palacios, TX)
Paladin Career And Tech High School (Blaine, MN)
Palatine High School (Palatine, IL)
Palatka High School (Palatka, FL)
Palco High (Palco, KS)
Palencia Elementary School (St. Augustine, FL)
Palermo Elementary School (Fulton, NY)
Palestine H S (Palestine, TX)
Palestine High School (Palestine, IL)
Palestine J H (Palestine, TX)
Palestine-Wheatley Senior High (Palestine, AR)
Palisade Glacier High (Continuation) (Big Pine, CA)
Palisade High School (Palisade, CO)
Palisade Preparatory School (Yonkers, NY)
Palisades Charter Elementary (Pacific Palisades, CA)
Palisades Charter High (Pacific Palisades, CA)
Palisades High (Continuation) (Calistoga, CA)
Palisades HS (Kintnersville, PA)
Palisades Park Elementary (Charlotte, NC)
Palisades Park Jr-Sr High School (Palisades Park, NJ)
Palm Acres Charter High School (Lehigh Acres, FL)
Palm Avenue Excep. Student Center (Jacksonville, FL)
Palm Bay Magnet Senior High School (Melbourne, FL)
Palm Bay Preparatory Academy 6-12 (Panama City, FL)
Palm Beach Central High School (Wellington, FL)
Palm Beach County Jail (West Palm Beach, FL)
Palm Beach Gardens High School (Palm Beach Gardens, FL)
Palm Beach Lakes High School (West Palm Beach, FL)
Palm Beach Maritime Academy High School (Lantana, FL)
Palm Beach Preparatory Charter Academy (Palm Springs, FL)
Palm Beach School For Autism (Lake Worth Fl, FL)
Palm Beach Virtual Franchise (Palm Beach Gardens, FL)
Palm Beach Virtual Instruction (Course Offerings) (Palm Beach Gardens, FL)
Palm Beach Virtual Instruction Program (Palm Beach Gardens, FL)
Palm Canyon (Hacienda Heights, CA)
Palm City Elementary School (Palm City, FL)
Palm Coast Christian Academy (Palm Coast, FL)
Palm Desert Charter Middle (Palm Desert, CA)
Palm Desert High (Palm Desert, CA)
Palm El (Austin, TX)
Palm Glades Preparatory Academy High School (Miami, FL)
Palm Grove Christian School (Sarasota, FL)
Palm Harbor Middle School (Palm Harbor, FL)
Palm Harbor University High (Palm Harbor, FL)
Palm Lake Elementary (Orlando, FL)
Palm Lane (Phoenix, AZ)
Palm Springs Elementary School (Hialeah, FL)
Palm Springs High (Palm Springs, CA)
Palm Springs Middle School (Palm Springs, FL)
Palm Springs North Elementary School (Hialeah, FL)
Palm Tree Elementary (Palmdale, CA)
Palm Tree School (Fairfax, VA)
Palm Valley School (Rancho Mirage, CA)
Palma Ceia Elementary (Hayward, CA)
Palma School (Salinas, CA)
Palmdale Aerospace Academy (Palmdale, CA)
Palmdale High (Palmdale, CA)
Palmer H S (Palmer, TX)
Palmer High (Palmer, MA)
Palmer High School (Colorado Springs, CO)
Palmer High School (Palmer, AK)
Palmer Junior-Senior High (Palmer, NE)
Palmer Lake Elementary (Brooklyn Park, MN)
Palmer Ridge High School (Monument, CO)
Palmer Trinity School (Palmetto Bay, FL)
Palmer Way (National City, CA)
Palmerton Area HS (Palmerton, PA)
Palmetto Academy Of Learning Motorsports (Palm) (Conway, SC)
Palmetto Bay Academy (Miami, FL)
Palmetto Bays Elementary (Myrtle Beach, SC)
Palmetto Charter School (Palmetto, FL)
Palmetto Christian Academy (Mount Pleasant, SC)
Palmetto Elementary School (Palmetto, FL)
Palmetto High (Williamston, SC)
Palmetto High School (Palmetto, FL)
Palmetto Middle School (Miami, FL)
Palmetto Ridge High School (Naples, FL)
Palmetto Scholars Academy (North Charleston, SC)
Palmetto Youth Academy Charter (Florence, SC)
Palmiter Special Education (Sacramento, CA)
Palmquist Elementary (Oceanside, CA)
Palms Middle (Los Angeles, CA)
Palmshores Behavior Health Center (Bradenton, FL)
Palmview Elementary School (Pompano Beach, FL)
Palmyra Area Shs (Palmyra, PA)
Palmyra High (Palmyra, MO)
Palmyra High School (Palmyra, NJ)
Palmyra-Eagle High (Palmyra, WI)
Palmyra-Eagle Middle (Palmyra, WI)
Palmyra-Macedon Senior High School (Palmyra, NY)
Palo Alto High (Palo Alto, CA)
Palo Alto Preparatory School (Mountain View, CA)
Palo Duro H S (Amarillo, TX)
Palo Pinto El (Palo Pinto, TX)
Palo Verde Elementary (Palo Alto, CA)
Palo Verde High (Blythe, CA)
Palo Verde High Magnet School (Tucson, AZ)
Palo Verde HS (Las Vegas, NV)
Palolo Elementary School (Honolulu, HI)
Paloma Creek High (Atascadero, CA)
Paloma Valley High (Menifee, CA)
Palomar High (Chula Vista, CA)
Palomares Academy Of Health Science (Pomona, CA)
Palos Verdes High (Palos Verdes Estates, CA)
Palos Verdes Peninsula High (Rolling Hills Estates, CA)
Palouse High School (Palouse, WA)
Palouse Junction High School (Connell, WA)
Pamlico County High (Bayboro, NC)
Pampa H S (Pampa, TX)
Pan American Academy Cs (Philadelphia, PA)
Pan American International High School (Elmhurst, NY)
Pan American International High School At Monroe (Bronx, NY)
Pan-American Charter School (Phoenix, AZ)
Pana Christian Academy (Pana, IL)
Pana Sr High School (Pana, IL)
Panama City Advanced School (Panama City, FL)
Panama High School (Panama, NY)
Panama HS (Panama, OK)
Pandora-Gilboa High School (Pandora, OH)
Pandora-Gilboa Middle School (Pandora, OH)
Pangborn Elementary (Hagerstown, MD)
Pangburn Elementary School (Pangburn, AR)
Pangburn High School (Pangburn, AR)
Panguitch High (Panguitch, UT)
Panguitch Middle (Panguitch, UT)
Panhandle H S (Panhandle, TX)
Panola Cs (Carthage, TX)
Panola Early College H S (Carthage, TX)
Panola Way Elementary School (Lithonia, GA)
Panorama High (Panorama City, CA)
Panorama High School (Panora, IA)
Panorama School (Colville, WA)
Panorama School (St George, UT)
Pansophia Academy (Coldwater, MI)
Pantano High School (Vail, AZ)
Pantego Christian Academy  - Arlington Campus (Arlington, TX)
Pantego Christian Academy (Pantego, TX)
Panther Creek High (Cary, NC)
Panther Creek School (Valera, TX)
Panther Valley Jshs (Lansford, PA)
Paola High (Paola, KS)
Paoli Es (Paoli, OK)
Paoli HS (Paoli, OK)
Paoli Jr & Sr High School (Paoli, IN)
Paonia Experiential Leadership Academy (Paonia, CO)
Paonia High School (Paonia, CO)
Papa Juan Xxiii (Bayamon, PR)
Papago School (Phoenix, AZ)
Papillion La Vista Senior High (Papillion, NE)
Papillion La Vista South HS (Papillion, NE)
Papillion Middle School (Papillion, NE)
Pappas Rehabilitation Hospital For Children (Canton, MA)
Paraclete High School (Lancaster, CA)
Parade (Carnation, WA)
Paradigm Development Center (Houston, TX)
Paradigm High School (South Jordan, UT)
Paradise Christian School (Albuquerque, NM)
Paradise Creek Regional High School (Moscow, ID)
Paradise El Sch (Paradise, PA)
Paradise Elearning Academy (Paradise, CA)
Paradise Elementary (Paradise, CA)
Paradise Elementary School (Ball, LA)
Paradise H S (Paradise, TX)
Paradise Honors Elementary School (Surprise, AZ)
Paradise Honors High School (Surprise, AZ)
Paradise Knoll Elementary School (Oak Ridge, NJ)
Paradise Mennonite School (Hagerstown, MD)
Paradise Middle (Paradise, TX)
Paradise Senior High (Paradise, CA)
Paradise Valley Christian Preparatory (Phoenix, AZ)
Paradise Valley Engineering Academy (Morgan Hill, CA)
Paradise Valley High School (Phoenix, AZ)
Paradox Valley Charter School (Paradox, CO)
Paragon Academy (Maple Grove, MN)
Paragon Academy Of Technology (Hollywood, FL)
Paragon Learning Center (Pueblo, CO)
Paragon Science Academy (Chandler, AZ)
Paragould High School (Paragould, AR)
