500 Reach (Kansas City, KS)
63rd St Multicultural Acad Of Academic Excellence (Philadelphia, PA)
7 Rivers Community High (La Crosse, WI)
R A Hall El (Beeville, TX)
R A Hubbard High School (Courtland, AL)
R A Long High School (Longview, WA)
R B Chamberlin Middle School (Twinsburg, OH)
R C Flores-Mark A Zapata El (Edinburg, TX)
R D Brown Voc Center (Biloxi, MS)
R E A D Y Program (Champaign, IL)
R F Patterson El (Arlington, TX)
R G Drage Career Technical Ctr (Massillon, OH)
R Grant Graham Elem School (Auburn Hills, MI)
R Howell Elementary (Columbia, TN)
R J Reynolds High (Winston Salem, NC)
R Max Abbott Middle (Fayetteville, NC)
R Nelson Snider High School (Fort Wayne, IN)
R O W V A Elem School (Oneida, IL)
R O W V A Jr And Sr High School (Oneida, IL)
R Stewart Esten (Rockland, MA)
R T Fisher Alternative (Gallatin, TN)
R V Groves El (Wylie, TX)
R Yzaguirre Middle (San Juan, TX)
R-5 High School (Grand Junction, CO)
R-S Central High School (Rutherfordton, NC)
R. C. Bannerman Learning Center (Green Cove Springs, FL)
R. C. Lipscomb Elementary School (Pensacola, FL)
R. Clem Churchwell Elementary School (Lakeland, FL)
R. D. Anderson Applied Technology Center (Moore, SC)
R. D. White Elementary (Glendale, CA)
R. E. Davis College Preparatory Academy (Sumter, SC)
R. F. Hazard Elementary (Santa Ana, CA)
R. Frank Nims Middle School (Tallahassee, FL)
R. H. Fulmer Middle (West Columbia, SC)
R. J. Longstreet Elementary School (Daytona Beach, FL)
R. K. Lloyde High (Lawndale, CA)
R. M. Moore Elementary School (Waleska, GA)
R. Rex Parris High (Palmdale, CA)
R. Roger Rowe Middle (Rancho Santa Fe, CA)
R. Sarracino Middle (Socorro, NM)
R. V. Daniels Elementary School (Jacksonville, FL)
R.E. Baker Elementary School (Bentonville, AR)
R.H. Long Booneville Middle School (Booneville, MS)
R.I. School For The Deaf (Providence, RI)
R.I.S.E. Academy (Weaverville, CA)
R.I.S.E. Program (New Ulm, MN)
R.J. Frank Academy Of Marine Science & Engineering (Oxnard, CA)
R.O. Nelson Elem (Newport News, VA)
Raba El (San Antonio, TX)
Rabbit Creek Elementary (Anchorage, AK)
Rabun Cap Nacoochee School (Rabun Gap, GA)
Rabun County High School (Tiger, GA)
Rabun County Primary School (Tiger, GA)
Rabun Gap Nacoochee School (Clarkesville, GA)
Rabun-Gap Nacoochee School (Rabun Gap, GA)
Raby High School (Chicago, IL)
Raceland Lower Elementary School (Raceland, LA)
Raceland Upper Elementary School (Raceland, LA)
Raceland-Worthington High School (Raceland, KY)
Raceland-Worthington Schools Campus A (Ashland, KY)
Raceland-Worthington Schools Campus B (Ashland, KY)
Rachel Carson Elementary (Gaithersburg, MD)
Rachel Carson High School For Coastal Studies (Brooklyn, NY)
Racine Alternative Learning (Racine, WI)
Racine Correctional Institution (Sturtevant, WI)
Racine Lutheran High School (Racine, WI)
Racine Youthful Offender Warren Young High (Racine, WI)
Radford High (Radford, VA)
Radford M Locklin Technical College (Milton, FL)
Radford School (El Paso, TX)
Radiant Elementary School (Urbandale, IA)
Radiant Stem Academy (Irving, TX)
Radium Springs Elementary School (Albany, GA)
Radix Elementary (Williamstown, NJ)
Radloff Middle School (Duluth, GA)
Radnor Shs (Radnor, PA)
Rae C. Stedman Elementary (Petersburg, AK)
Raes East Alt Ed (Galesburg, IL)
Raes Night School (Galesburg, IL)
Raes Rssp (Galesburg, IL)
Raes West (Monmouth, IL)
Raes West Alt Ed (Monmouth, IL)
Rafael Cordero (San Juan, PR)
Rafael Hernandez (Vega Alta, PR)
Rafael Maria De Labra (San Juan, PR)
Rafael Pont Flores (Aibonito, PR)
Rafael Rivera Otero (San Juan, PR)
Rafaelina E. Lebron Flores (Patillas, PR)
Raft River Jr/Sr High School (Malta, ID)
Ragland High School (Ragland, AL)
Rahn Elementary (Eagan, MN)
Rahway 7th & 8th Grade Academy (Rahway, NJ)
Rahway High School (Rahway, NJ)
Railroad Canyon Elementary (Lake Elsinore, CA)
Rails Academy (Proctor, MN)
Rainbow Christian Academy (Elk Park, NC)
Rainbow Dreams Academy Secondary (Las Vegas, NV)
Rainbow Elementary School (Decatur, GA)
Rainbow Elementary School (Winter Springs, FL)
Rainbow Valley Elementary School (Buckeye, AZ)
Raincross High (Continuation) (Riverside, CA)
Rainelle Elementary (Rainelle, WV)
Rainey Mccullers School Of The Arts (Columbus, GA)
Rainier Beach High School (Seattle, WA)
Rainier Christian High School (Auburn, WA)
Rainier Elementary School (Jblm Lewis Main, WA)
Rainier Jr/Sr High School (Rainier, OR)
Rainier Middle School (Auburn, WA)
Rainier Senior High School (Rainier, WA)
Rainier View Elementary School (Federal Way, WA)
Rains H S (Emory, TX)
Raisbeck Aviation High School (Tukwila, WA)
Raising Knowledge Academy Inc. (Orlando, FL)
Raleigh Charter High School (Raleigh, NC)
Raleigh Christian Academy (Raleigh, NC)
Raleigh High School (Raleigh, MS)
Raleigh Park Elementary School (Portland, OR)
Raleigh-Bartlett Meadows Elementary (Memphis, TN)
Raleigh-Egypt High (Memphis, TN)
Ralls H S (Ralls, TX)
Ralls Middle (Ralls, TX)
Ralph A Fabrizio School (Brooklyn, NY)
Ralph C Mahar Regional (Orange, MA)
Ralph C Starkey (Cjcf) (Circleville, OH)
Ralph D Butler (Avon, MA)
Ralph Downs Es (Oklahoma City, OK)
Ralph Eickenroht El (Houston, TX)
Ralph J Frost Academy (Park Ridge, IL)
Ralph J. Bunche High (Oakland, CA)
Ralph Pfluger El (Buda, TX)
Ralph R Mckee Career And Technical Education High School (Staten Island, NY)
Ralph R Willis Career/Technical Center (Stollings, WV)
Ralph Reed School (Central Islip, NY)
Ralph Richardson Center (Carmichael, CA)
Ralston Elem School (Machesney Park, IL)
Ralston High School (Ralston, NE)
Ralston Valley Senior High School (Arvada, CO)
Rama Road Elementary (Charlotte, NC)
Ramah Elementary (Ramah, NM)
Ramah High (Ramah, NM)
Ramapo High School (Franklin Lakes, NJ)
Ramapo High School (Spring Valley, NY)
Ramaz Upper School (New York, NY)
Rambam Mesivta (Lawrence, NY)
Ramey-Estep High School (Rush, KY)
Ramirez El (Lubbock, TX)
Ramon C. Cortines School Of Visual And Performing Arts (Los Angeles, CA)
Ramon De Jesus Sierra (Lares, PR)
Ramon Jose Davila (Coamo, PR)
Ramon Lopez Berrios (Emilia Bonilla) (Villalba, PR)
Ramon Power Y Giralt (Las Piedras, PR)
Ramon Power Y Giralt (San Juan, PR)
Ramon Quinones Medina (Yabucoa, PR)
Ramon S. Tafoya Elementary (Woodland, CA)
Ramon Vila Mayo (San Juan, PR)
Ramona Convent Secondary School (Alhambra, CA)
Ramona Elementary (Alhambra, CA)
Ramona Head Start/State Preschool (Norwalk, CA)
Ramona High (Ramona, CA)
Ramona High (Riverside, CA)
Ramona Middle (San Dimas, CA)
Ramona Opportunity High (Los Angeles, CA)
Rampart High School (Colorado Springs, CO)
Rampart School (Rampart, AK)
Ramsay High School (Birmingham, AL)
Ramsey Elem School (Ramsey, IL)
Ramsey High School (Ramsey, IL)
Ramsey High School (Ramsey, NJ)
Ramsey Street High (Fayetteville, NC)
Ranburne High School (Ranburne, AL)
Ranch Academy (Canton, TX)
Ranch Elementary School (San Tan Valley, AZ)
Ranch Heights Es (Bartlesville, OK)
Rancheria Continuation (Boonville, CA)
Ranchero Middle (Hesperia, CA)
Rancho Alamitos High (Garden Grove, CA)
Rancho Bernardo High (San Diego, CA)
Rancho Buena Vista High (Vista, CA)
Rancho Campana High (Camarillo, CA)
Rancho Christian School (Temecula, CA)
Rancho Cotate High (Rohnert Park, CA)
Rancho Cucamonga High (Rancho Cucamonga, CA)
Rancho Del Mar High (Continuation) (Rolling Hills, CA)
Rancho Dominguez Preparatory (Long Beach, CA)
Rancho HS (Las Vegas, NV)
Rancho Learning Center (Alternative) (Arcadia, CA)
Rancho Medanos Junior High (Pittsburg, CA)
Rancho Mirage High (Rancho Mirage, CA)
Rancho Romero Elementary (Alamo, CA)
Rancho San Juan High (Salinas, CA)
Rancho Solano Private School-Greenway Campus (Scottsdale, AZ)
Rancho Tehama Elementary (Corning, CA)
Rancho Verde Elementary (Apple Valley, CA)
Rancho Verde High (Moreno Valley, CA)
Rancho Viejo Elementary School - Closed (Yuma, AZ)
Rancho Viejo Middle (Hemet, CA)
Rancho Vista High (Temecula, CA)
Ranchview H S (Irving, TX)
Ranchwood Es (Yukon, OK)
Rancocas Valley Regional High School (Mount Holly, NJ)
Randall Academy (Apopka, FL)
Randall Elem. (Independence, MO)
Randall H S (Amarillo, TX)
Randall K. Cooper High School (Union, KY)
Randall Park High School (North Randall, OH)
Randallstown High (Randallstown, MD)
Randazzo School (Coconut Creek, FL)
Randels Elementary School (Flint, MI)
Randleman High School (Randleman, NC)
Randleman Middle School (Randleman, NC)
Randolph A. Philip Avt HS (Philadelphia, PA)
Randolph Academy (Randolph, NY)
Randolph Academyhamburg Campus (Hamburg, NY)
Randolph Career And Technical Center (Detroit, MI)
