3001 Thunder Rd (Alamagordo, NM)
30th Avenue School (The) (G & T Citywide) (Astoria, NY)
49th Street Academy (Vancouver, WA)
54th Street Academy (Grand Rapids, MI)
5th And 6th Grade Ctr. (Sikeston, MO)
6-12th Grade Building (Graceville, MN)
6th Grade Center (Quakertown, PA)
917 Transitional Education Serv Alt (Rosemount, MN)
T F Riggs High School - 01 (Pierre, SD)
T G Terry El (Dallas, TX)
T H Rogers School (Houston, TX)
T Or C Elementary (T Or C, NM)
T Price El (Donna, TX)
T R Simmons Elementary School (Jasper, AL)
T R U C E Learning Ctr (Fort Worth, TX)
T W Ogg El (Clute, TX)
T Wingate Andrews High (High Point, NC)
T. Dewitt Taylor Middle-High School (Pierson, FL)
T. L. Hanna High (Anderson, SC)
T. Ryland Sanford Elem (Newport News, VA)
T. S. Cooley Elementary Magnet School (Lake Charles, LA)
T.H. Bell Jr High (Ogden, UT)
T.R.O.Y. Center (Columbia City, IN)
T'Iis Nazbas Community School (Teec Nos Pos, AZ)
T2 Honors Academy (Warrensville Heights, OH)
Ta Wilson School (Jackson, MI)
Tabb High (Yorktown, VA)
Tabernacle Baptist Academy (Virginia Beach, VA)
Tabernacle Baptist School (Live Oak, FL)
Tabernacle Christian Academy (Poughkeepsie, NY)
Tabernacle Christian Academy (San Diego, CA)
Tabernacle Christian School (Bradenton, FL)
Tabernacle Christian School (Gardendale, AL)
Tabernacle Christian School (Greenville, SC)
Tabernacle Christian School (Hickory, NC)
Tabernacle Christian School (Litchfield, NH)
Tabernacle Christian School (Martinsville, IN)
Tabernacle Christian School (Monroe, NC)
Tabiona High (Tabiona, UT)
Table Mound Elementary School (Dubuque, IA)
Table Mountain (Oroville, CA)
Table Rock Elementary (White City, OR)
Tabor Academy (Marion, MA)
Tabor City Middle (Tabor City, NC)
Tac Alternative School (Mccomb, MS)
Tack International Academy (San Diego, CA)
Tacoma Business Academy (Tacoma, WA)
Tacoma Christian Academy (Tacoma, WA)
Tacoma Open Doors (Tacoma, WA)
Tacoma Pierce County Education Center (Tacoma, WA)
Tacoma School Of The Arts (Tacoma, WA)
Taconic High (Pittsfield, MA)
Taconic Hills Elementary School (Craryville, NY)
Taconic Hillsjunior/Senior High School (Craryville, NY)
Tacony Academy Cs (Philadelphia, PA)
Tafolla Middle (San Antonio, TX)
Taft Charter High (Woodland Hills, CA)
Taft Elementary (Orange, CA)
Taft Elementary (Stockton, CA)
Taft Elementary School (Boise, ID)
Taft Elementary School (Lincoln City, OR)
Taft Elementary School (Mesa, AZ)
Taft Elementary School (Youngstown, OH)
Taft Grade School (Lockport, IL)
Taft H S (San Antonio, TX)
Taft H S (Taft, TX)
Taft High (Sanger, CA)
Taft High School (Chicago, IL)
Taft High School (Lincoln City, OR)
Taft Middle (Albuquerque, NM)
Taft Union High (Taft, CA)
Tafuna High School (Pago Pago, AS)
Tag Young Scholars (New York, NY)
Tagos Leadership Acad (Janesville, WI)
Tahanto Regional High (Boylston, MA)
Tahlequah HS (Tahlequah, OK)
Tahoe Expedition Academy (Truckee, CA)
Tahoe Lake Elementary (Tahoe City, CA)
Tahoe Truckee High (Truckee, CA)
Tahoka H S (Tahoka, TX)
Taholah High School (Taholah, WA)
Tahoma Open Doors (Maple Valley, WA)
Tahoma Senior High School (Maple Valley, WA)
Tahquitz High (Hemet, CA)
Takini School (Howes, SD)
Takoma Academy (Takoma Park, MD)
Takotna Community School (Takotna, AK)
Talawanda High School (Oxford, OH)
Talawanda Middle School (Oxford, OH)
Talbert (Samuel E.) Middle (Huntington Beach, CA)
Talega Preparatory Academy (San Clemente, CA)
Talent Middle School (Talent, OR)
Talent Unlimited High School (New York, NY)
Taliaferro County School (Crawfordville, GA)
Talihina HS (Talihina, OK)
Talkington School For Young Women Leaders (Lubbock, TX)
Tall Oaks High (Bowie, MD)
Talladega Career Technical Center (Talladega, AL)
Talladega County Central High (Talladega, AL)
Talladega County Genesis School (Alpine, AL)
Talladega High School (Talladega, AL)
Tallahassee Adventist Christian Academy (Tallahassee, FL)
Tallahassee Classical School (Tallahassee, FL)
Tallahassee School Of Math & Sciences (Tallahassee, FL)
Tallassee High School (Tallassee, AL)
Tallavana Christian School (Havana, FL)
Talley El (Frisco, TX)
Talley High School (Seattle, WA)
Tallgrass Sudbury School (Riverside, IL)
Tallmadge Elementary School (Tallmadge, OH)
Tallmadge High School (Tallmadge, OH)
Tallulah Academy (Tallulah, LA)
Tallulah Falls School (Tallulah Falls, GA)
Tallwood High (Virginia Beach, VA)
Talmadge Middle School (Independence, OR)
Talmud Torah Imrei Burech (Kiamesha Lake, NY)
Talmud Torah Of Kasho (Brooklyn, NY)
Talmud Torah Zecher Yochanan (Lakewood, NJ)
Talmudical Academy Of Baltimore, Inc. (Baltimore, MD)
Talmudical Academy-Baltimore (Baltimore, MD)
Talmudical Institute Of Upstate Ny (Rochester, NY)
Talmudical Yeshiva Of Philadelphia (Philadelphia, PA)
Taloga Es (Taloga, OK)
Taloga HS (Taloga, OK)
Tamalpais High (Mill Valley, CA)
Tamaqua Area Shs (Tamaqua, PA)
Tamaqua El Sch (Tamaqua, PA)
Tamaques Elementary School (Westfield, NJ)
Tamarac Middle School High School (Troy, NY)
Tamiscal High (Alternative) (Larkspur, CA)
Tammany High School (Lewiston, ID)
Tampa Bay Academy (Tampa, FL)
Tampa Bay Tech High School (Tampa, FL)
Tampa Catholic High School (Tampa, FL)
Tampa Christian Community School (Lutz, FL)
Tampa Preparatory School (Tampa, FL)
Tampa Residential Facility (Tampa, FL)
Tamura (Hisamatsu) Elementary (Fountain Valley, CA)
Tanaina Elementary (Wasilla, AK)
Tanalian School (Port Alsworth, AK)
Tandem Friends School (Charlottesville, VA)
Taneyville Elem. (Taneyville, MO)
Tangelo Park Elementary (Orlando, FL)
Tangier Combined (Tangier, VA)
Tannehill Public School (Mcalester, OK)
Tanner Elem School (Chicago, IL)
Tanner High School (Tanner, AL)
Tanner Williams Elementary School (Wilmer, AL)
Tanque Verde High School (Tucson, AZ)
Tantasqua Regional Sr High (Fiskdale, MA)
Tantasqua Regional Vocational (Fiskdale, MA)
Tantie (Okeechobee, FL)
Taos Academy (Taos, NM)
Taos Cyber Magnet (Taos, NM)
Taos Day School (Taos, NM)
Taos High (Taos, NM)
Tap Pk Babies (Pensacola, FL)
Tapbi (Tempe, AZ)
Tapestry Alop (Hillside, IL)
Tapestry Charter School (Buffalo, NY)
Tapestry Public Charter School (Doraville, GA)
Tappan Zee High School (Orangeburg, NY)
Tappen Elementary School (Tappen, ND)
Tar River Academy (Rocky Mount, NC)
Tara High School (Baton Rouge, LA)
Tara Performing Arts High School (Boulder, CO)
Tarboro High (Tarboro, NC)
Tarhe Trails Elementary School (Lancaster, OH)
Tariffville School (Tariffville, CT)
Tarkington H S (Cleveland, TX)
Tarkio High (Tarkio, MO)
Tarpon Springs Elementary School (Tarpon Springs, FL)
Tarpon Springs High School (Tarpon Springs, FL)
Tarrallton Elem (Norfolk, VA)
Tarrant Co College South/Fort Worth Collegiate H S (Fort Worth, TX)
Tarrant Co J J A E P (Grapevine, TX)
Tarrant Co J J A E P (Haltom City, TX)
Tarrant Co J J A E P (Southlake, TX)
Tarrant High School (Tarrant, AL)
Tarrant Youth Recovery (Ft Worth, TX)
Tartan Senior High (Oakdale, MN)
Tarver El (Temple, TX)
Tascosa H S (Amarillo, TX)
Tate Elementary School (Tate, GA)
Tates Creek Elementary School (Lexington, KY)
Tates Creek High School (Lexington, KY)
Tatitlek Community School (Tatitlek, AK)
Tattnall County High School (Reidsville, GA)
Tatum El (Farmersville, TX)
Tatum El (Tatum, TX)
Tatum H S (Tatum, TX)
Tatum High (Tatum, NM)
Taunton Alternative High School (Taunton, MA)
Taunton High (Taunton, MA)
Tavares High School (Tavares, FL)
Tawas Area High School (Tawas City, MI)
Taycheedah Correctional Institution (Fond Du Lac, WI)
Taylion High Desert Academy/Adelanto (Adelanto, CA)
