U Of L Pact Program (Louisville, KY)
U S Grant (Bethel, OH)
U-32 Middle & High School (Montpelier, VT)
U. B. Kinsey/Palmview Elementary (West Palm Beach, FL)
U. S. Grant HS (Oklahoma City, OK)
U.S. International Christian Academy (Miami, FL)
Ua-Ptc Technical Center (Benton, AR)
Uaccm Technical Center (Morrilton, AR)
Ubah Medical Academy Charter School (Hopkins, MN)
Ubly Community Elementary School (Ubly, MI)
Ubly Community Jrsr High School (Ubly, MI)
Ucan Academy (Chicago, IL)
Ucla Community K-12 (Los Angeles, CA)
Ucp Early Beginnings (Ft Lauderdale, FL)
Ucp Osceola Charter School (Kissimmee, FL)
Ucp Pine Hills Charter (Orlando, FL)
Ucp Transitional Learning Academy High Charter (Orlando, FL)
Ucp-Cds-Melvin J Larson School (Joliet, IL)
Ucs Alternative Learning Center (Sterling Heights, MI)
Udall High (Udall, KS)
Uft Charter School (Brooklyn, NY)
Ugrad – Esd123 Re-Engagement Program (Pasco, WA)
Uhs Of Laurel Heights (Atlanta, GA)
Uhs Of Savannah Coastal Harbor Treatment Center (Savannah, GA)
Uinta Academy (Wellsville, UT)
Uintah High (Vernal, UT)
Uintah River High (Fort Duchesne, UT)
Uk Early Childhood Lab (Lexington, KY)
Ukiah High (Ukiah, CA)
Ukiah Junior Academy (Ukiah, CA)
Ukiah School (Ukiah, OR)
Ulen-Hitterdal Secondary (Ulen, MN)
Ulloa Elementary (San Francisco, CA)
Ullom J M Es (Las Vegas, NV)
Ulster Boces (New Paltz, NY)
Ulysses Byas Elementary School (Roosevelt, NY)
Ulysses Grant Elementary (Colton, CA)
Ulysses High (Ulysses, KS)
Ulysses S. Grant Senior High (Van Nuys, CA)
Umatilla High School (Umatilla, FL)
Umatilla High School (Umatilla, OR)
Ume Preparatory Academy (Dallas, TX)
Umo N Ho N Nation High School (Macy, NE)
Umo N Ho N Nation Middle Sch (Macy, NE)
Umpire K-12 School (Umpire, AR)
Ums-Wright Preparatory School (Mobile, AL)
Unadilla Elementary School (Unadilla, NY)
Unadilla Valley Secondary School (New Berlin, NY)
Unaka High School (Elizabethton, TN)
Unalakleet School (Unalakleet, AK)
Unalaska Jr/Sr High School (Unalaska, AK)
Unatego Junior-Senior High School (Otego, NY)
Uncas Elementary School (Norwich, CT)
Uncg Early/Middle College (Greensboro, NC)
Underwood Alp (Underwood, MN)
Underwood El (Andrews, TX)
Underwood Elem. (Lee'S Summit, MO)
Underwood Elementary (Wauwatosa, WI)
Underwood Elementary School (Underwood, IA)
Underwood High School (Underwood, IA)
Underwood High School (Underwood, ND)
Underwood Secondary (Underwood, MN)
Unicoi Co High School (Erwin, TN)
Unicoi Elementary (Unicoi, TN)
Unicorn Village Academy (Boca Raton, FL)
Union 8th Grade Ctr (Broken Arrow, OK)
Union Academy (Franklin, NC)
Union Academy (Monroe, NC)
Union Area HS (New Castle, PA)
Union Avenue Middle School (Irvington, NJ)
Union Baptist Academy (Picayune, MS)
Union Bible Academy (Westfield, IN)
Union Catholic Regional High School (Scotch Plains, NJ)
Union Christian Academy (Fort Smith, AR)
Union Christian Day School (Union, SC)
Union City Community Jr/Sr High (Union City, IN)
Union City El Sch (Union City, PA)
Union City Es (Union City, OK)
Union City High School (Union City, MI)
Union City High School (Union City, NJ)
Union City High School (Union City, TN)
Union City HS (Union City, OK)
Union City HS (Union City, PA)
Union City Ms (Union City, PA)
Union Colony Preparatory School (Greeley, CO)
Union County Alternative Center (Maynardville, TN)
Union County Area Vocational Ed Center (Morganfield, KY)
Union County Career & Technical Institute (Scotch Plains, NJ)
Union County Career And Technology Center (Union, SC)
Union County High (Union, SC)
Union County High School (Blairsville, GA)
Union County High School (Lake Butler, FL)
Union County High School (Liberty, IN)
Union County High School (Maynardville, TN)
Union County High School (Morganfield, KY)
Union County Learning Academy (Morganfield, KY)
Union County Magnet High School (Scotch Plains, NJ)
Union County Preschool And Headstart (Morganfield, KY)
Union County Teams Charter School (Plainfield, NJ)
Union County Tech (Scotch Plains, NJ)
Union County Virtual Instruction Program (Lake Butler, FL)
Union East Elementary School (Cheektowaga, NY)
Union Educational Complex (Mount Storm, WV)
