Y.A.L.E. School Of Philadelphia (Philadelphia, PA)
Ya Ne Dah Ah School (Palmer, AK)
Yaakoosge Daakahidi Alt. H.S. (Juneau, AK)
Yadkin Early College (Yadkinville, NC)
Yadkin Success Academy (Yadkinville, NC)
Yakama Nation Tribal School (Toppenish, WA)
Yakima Adult Jail (Yakima, WA)
Yakima Adventist Christian School (Yakima, WA)
Yakima Online (Yakima, WA)
Yakima Open Doors (Yakima, WA)
Yakima Satellite Alternative Programs (Yakima, WA)
Yakima Valley Technical Skills Center (Yakima, WA)
Yakov E. Netsvetov School (Atka, AK)
Yakutat School (Yakutat, AK)
Yale Elementary School (Yale, MI)
Yale HS (Yale, OK)
Yale Junior High School (Yale, MI)
Yale Senior High School (Yale, MI)
Yamhill Carlton High School (Yamhill, OR)
Yamhill Carlton Intermediate School (Yamhill, OR)
Yampa Valley High School (Steamboat Springs, CO)
Yampah Mountain School (Glenwood Springs, CO)
Yancey County Christian School (Burnsville, NC)
Yankeetown Elementary School (Newburgh, IN)
Yankton High School - 01 (Yankton, SD)
Yankton Middle School - 02 (Yankton, SD)
Yantis School (Yantis, TX)
Yarbrough HS (Goodwell, OK)
Yardville Heights Elementary School (Hamilton, NJ)
Yarmouth High School (Yarmouth, ME)
Yates Center High (Yates Center, KS)
Yates Elem School (Chicago, IL)
Yates H S (Houston, TX)
Yattiyr Isee Christian School (Mather, CA)
Yavapai County High School (Prescott Valley, AZ)
Yazoo City High School (Yazoo City, MS)
Yazoo City Voc Complex (Yazoo City, MS)
Yazoo County High School (Yazoo City, MS)
Yb Columbus Community School (Columbus, OH)
Ybmc Charter Sch (Normal, IL)
Yccs Chtr - Chatham (Chicago, IL)
Yccs West (Chicago, IL)
Yccs- Mckinley-Lakeside Leadership Academy (Chicago, IL)
Yccs-Albizu Campos Puerto Rican HS (Chicago, IL)
Yccs-Aspira Pantoja Alt HS (Chicago, IL)
Yccs-Association House (Chicago, IL)
Yccs-Austin Career Ed Cntr HS (Chicago, IL)
Yccs-Cca Academy HS (Chicago, IL)
Yccs-Community Youth Dev Inst HS (Chicago, IL)
Yccs-Innovations Of Arts Integr HS (Chicago, IL)
Yccs-Jane Addams Alternative HS (Chicago, IL)
Yccs-Latino Youth Alternative HS (Chicago, IL)
Yccs-Mckinley-Lakeside Leadership (Chicago, IL)
Yccs-Olive Harvey Mid College HS (Chicago, IL)
Yccs-Progressive Leadership Academy (Chicago, IL)
Yccs-Scholastic Achievement HS (Chicago, IL)
Yccs-Sullivan House Alt HS (Chicago, IL)
Yccs-Truman Middle College HS (Chicago, IL)
Yccs-Virtual HS (Chicago, IL)
Yccs-West Town Academy Alt HS (Chicago, IL)
Yccs-Youth Connection Leadership Academy (Chicago, IL)
Yea Program (Yorkville, IL)
Yearling Middle School (Okeechobee, FL)
Yellow Breeches Educational Center (Carlisle, PA)
Yellow Medicine East High School (Granite Falls, MN)
Yellow Springs/Mckinney High School (Yellow Springs, OH)
Yellow Wood Academy (Mercer Island, WA)
Yellowstone Academy (Billings, MT)
Yellville-Summit High School (Yellville, AR)
